nombre_embalse	fecha	afluente
ANGOSTURA	2023-01-01	58,8988804979556
CHAPO	2023-01-01	4,55
COLBUN	2023-01-01	98,6613298011997
INVERNADA	2023-01-01	19,05847
LAJA	2023-01-01	33,34896
MELADO	2023-01-01	8,71
PANGUE	2023-01-01	8,11362115985377
PEHUENCHE	2023-01-01	81,53586903478
POLCURA	2023-01-01	23,64052
RALCO	2023-01-01	88,0
RAPEL	2023-01-01	0,0
ANGOSTURA	2023-01-02	43,6935588138521
CHAPO	2023-01-02	15,2
COLBUN	2023-01-02	90,944889781433
INVERNADA	2023-01-02	18,10859
LAJA	2023-01-02	16,82483
MELADO	2023-01-02	6,41
PANGUE	2023-01-02	-7,0402138274064
PEHUENCHE	2023-01-02	69,3441501062703
POLCURA	2023-01-02	21,15865
RALCO	2023-01-02	90,0
RAPEL	2023-01-02	0,02
ANGOSTURA	2023-01-03	41,0567059169503
CHAPO	2023-01-03	4,9
COLBUN	2023-01-03	88,6052977137013
INVERNADA	2023-01-03	18,59011
LAJA	2023-01-03	58,33059
MELADO	2023-01-03	5,34
PANGUE	2023-01-03	9,48678720916702
PEHUENCHE	2023-01-03	68,4001611777402
POLCURA	2023-01-03	21,34133
RALCO	2023-01-03	88,0
RAPEL	2023-01-03	0,02
ANGOSTURA	2023-01-04	30,9651283789111
CHAPO	2023-01-04	0,6
COLBUN	2023-01-04	74,837909924789
INVERNADA	2023-01-04	17,72482
LAJA	2023-01-04	8,711459
MELADO	2023-01-04	4,84
PANGUE	2023-01-04	4,62355655628286
PEHUENCHE	2023-01-04	62,6599038825059
POLCURA	2023-01-04	21,58583
RALCO	2023-01-04	86,0
RAPEL	2023-01-04	0,02
ANGOSTURA	2023-01-05	40,8765388555165
CHAPO	2023-01-05	2,4
COLBUN	2023-01-05	30,619518214498
INVERNADA	2023-01-05	14,04305
LAJA	2023-01-05	16,78486
MELADO	2023-01-05	4,88
PANGUE	2023-01-05	4,77507754889562
PEHUENCHE	2023-01-05	17,8367456032401
POLCURA	2023-01-05	23,77937
RALCO	2023-01-05	88,0
RAPEL	2023-01-05	0,02
ANGOSTURA	2023-01-06	45,0261983324348
CHAPO	2023-01-06	2,2
COLBUN	2023-01-06	75,1580948976922
INVERNADA	2023-01-06	18,49
LAJA	2023-01-06	26,92
MELADO	2023-01-06	4,36
PANGUE	2023-01-06	5,7265178548474
PEHUENCHE	2023-01-06	55,1321690386778
POLCURA	2023-01-06	20,84
RALCO	2023-01-06	87,0
RAPEL	2023-01-06	0,01
ANGOSTURA	2023-01-07	56,7234271075995
CHAPO	2023-01-07	1,6
COLBUN	2023-01-07	87,4507141974701
INVERNADA	2023-01-07	19,12
LAJA	2023-01-07	36,63
MELADO	2023-01-07	4,3
PANGUE	2023-01-07	3,9248496633988
PEHUENCHE	2023-01-07	72,4549197525441
POLCURA	2023-01-07	18,77
RALCO	2023-01-07	90,0
RAPEL	2023-01-07	0,01
ANGOSTURA	2023-01-08	44,169421125314
CHAPO	2023-01-08	2,4
COLBUN	2023-01-08	66,502853878824
INVERNADA	2023-01-08	19,7113
LAJA	2023-01-08	20,17844
MELADO	2023-01-08	4,13
PANGUE	2023-01-08	1,60429391676512
PEHUENCHE	2023-01-08	58,2065208612511
POLCURA	2023-01-08	19,21364
RALCO	2023-01-08	84,0
RAPEL	2023-01-08	0,02
ANGOSTURA	2023-01-09	50,4100027302308
CHAPO	2023-01-09	46,7
COLBUN	2023-01-09	72,4031851178772
INVERNADA	2023-01-09	21,02797
LAJA	2023-01-09	31,41959
MELADO	2023-01-09	4,11
PANGUE	2023-01-09	0,69183628345958
PEHUENCHE	2023-01-09	59,5874706969421
POLCURA	2023-01-09	18,61172
RALCO	2023-01-09	86,0
RAPEL	2023-01-09	0,02
ANGOSTURA	2023-01-10	58,8282061050013
CHAPO	2023-01-10	15,86
COLBUN	2023-01-10	66,1696632119286
INVERNADA	2023-01-10	19,76331
LAJA	2023-01-10	3,701919
MELADO	2023-01-10	3,48
PANGUE	2023-01-10	4,05511975414747
PEHUENCHE	2023-01-10	50,4268650581581
POLCURA	2023-01-10	17,4934
RALCO	2023-01-10	82,0
RAPEL	2023-01-10	9,305555
ANGOSTURA	2023-01-11	40,9067197101577
CHAPO	2023-01-11	4,79
COLBUN	2023-01-11	87,4517238272397
INVERNADA	2023-01-11	18,76079
LAJA	2023-01-11	20,90978
MELADO	2023-01-11	3,03
PANGUE	2023-01-11	2,23672925120415
PEHUENCHE	2023-01-11	66,7167570705888
POLCURA	2023-01-11	17,88868
RALCO	2023-01-11	77,0
RAPEL	2023-01-11	9,305555
ANGOSTURA	2023-01-12	33,7678966910025
CHAPO	2023-01-12	2,95
COLBUN	2023-01-12	63,1827078177901
INVERNADA	2023-01-12	18,40213
LAJA	2023-01-12	33,02797
MELADO	2023-01-12	2,62
PANGUE	2023-01-12	-0,061836425414981
PEHUENCHE	2023-01-12	53,9392501033396
POLCURA	2023-01-12	17,42854
RALCO	2023-01-12	74,0
RAPEL	2023-01-12	0,02
ANGOSTURA	2023-01-13	31,931803833931
CHAPO	2023-01-13	9,81
INVERNADA	2023-01-13	18,82206
LAJA	2023-01-13	24,92481
MELADO	2023-01-13	2,17
PANGUE	2023-01-13	0,544538003348649
PEHUENCHE	2023-01-13	53,6149966761326
POLCURA	2023-01-13	16,28838
RALCO	2023-01-13	72,0
RAPEL	2023-01-13	0,01
ANGOSTURA	2023-01-14	54,1260753820173
CHAPO	2023-01-14	2,97
COLBUN	2023-01-14	59,8120608615373
INVERNADA	2023-01-14	18,87265
LAJA	2023-01-14	16,87944
MELADO	2023-01-14	1,81
PANGUE	2023-01-14	0,59860886839256
PEHUENCHE	2023-01-14	49,0803937361906
POLCURA	2023-01-14	17,31183
RALCO	2023-01-14	74,0
RAPEL	2023-01-14	0,0
ANGOSTURA	2023-01-15	27,9606328526153
CHAPO	2023-01-15	3,79
COLBUN	2023-01-15	66,5866960596667
INVERNADA	2023-01-15	17,70327
LAJA	2023-01-15	24,96282
MELADO	2023-01-15	1,52
PANGUE	2023-01-15	1,28343999991047
PEHUENCHE	2023-01-15	53,3713579200526
POLCURA	2023-01-15	16,98526
RALCO	2023-01-15	72,0
RAPEL	2023-01-15	0,02
ANGOSTURA	2023-01-16	45,0805196356352
CHAPO	2023-01-16	1,78
COLBUN	2023-01-16	63,8724974052064
INVERNADA	2023-01-16	19,02111
LAJA	2023-01-16	8,575413
MELADO	2023-01-16	1,4
PANGUE	2023-01-16	-1,59437534308175
PEHUENCHE	2023-01-16	48,1912428825038
POLCURA	2023-01-16	16,87049
RALCO	2023-01-16	70,0
RAPEL	2023-01-16	0,02
ANGOSTURA	2023-01-17	44,8950252867746
CHAPO	2023-01-17	4,52
COLBUN	2023-01-17	65,5058742152694
INVERNADA	2023-01-17	17,94277
LAJA	2023-01-17	8,703348
MELADO	2023-01-17	1,34
PANGUE	2023-01-17	3,67828444487095
PEHUENCHE	2023-01-17	48,9029782225546
POLCURA	2023-01-17	17,5993
RALCO	2023-01-17	71,0
RAPEL	2023-01-17	0,02
ANGOSTURA	2023-01-18	46,4506349457035
CHAPO	2023-01-18	6,19
INVERNADA	2023-01-18	17,42603
LAJA	2023-01-18	33,24385
MELADO	2023-01-18	1,098
PANGUE	2023-01-18	1,76166348167106
PEHUENCHE	2023-01-18	62,600699224501
POLCURA	2023-01-18	17,03269
RALCO	2023-01-18	72,0
RAPEL	2023-01-18	0,02
ANGOSTURA	2023-01-19	31,0230201992928
CHAPO	2023-01-19	9,75
COLBUN	2023-01-19	66,4546287729401
INVERNADA	2023-01-19	17,18369
LAJA	2023-01-19	17,20997
MELADO	2023-01-19	0,94
PANGUE	2023-01-19	3,57099408257413
PEHUENCHE	2023-01-19	49,1128846618403
POLCURA	2023-01-19	17,92428
RALCO	2023-01-19	69,0
RAPEL	2023-01-19	0,02
ANGOSTURA	2023-01-20	34,0266949836258
CHAPO	2023-01-20	8,6
COLBUN	2023-01-20	72,4133212747046
INVERNADA	2023-01-20	17,15344
LAJA	2023-01-20	8,377275
MELADO	2023-01-20	0,85
PANGUE	2023-01-20	1,76330835889877
PEHUENCHE	2023-01-20	53,2708510412808
POLCURA	2023-01-20	17,50305
RALCO	2023-01-20	69,0
RAPEL	2023-01-20	0,0
ANGOSTURA	2023-01-21	39,7255980585319
CHAPO	2023-01-21	7,26
COLBUN	2023-01-21	54,4197260659357
INVERNADA	2023-01-21	16,52529
LAJA	2023-01-21	16,53476
MELADO	2023-01-21	0,74
PANGUE	2023-01-21	-0,355157543854602
PEHUENCHE	2023-01-21	43,9047560121778
POLCURA	2023-01-21	18,4836
RALCO	2023-01-21	70,0
RAPEL	2023-01-21	8,958333
ANGOSTURA	2023-01-22	40,2029027224544
CHAPO	2023-01-22	17,19
COLBUN	2023-01-22	65,315105778401
INVERNADA	2023-01-22	16,45818
LAJA	2023-01-22	24,52571
MELADO	2023-01-22	0,74
PANGUE	2023-01-22	2,96692288889308
PEHUENCHE	2023-01-22	57,1898679287725
