nombre_embalse	fecha	afluente
CHAPO	2016-01-01	14,3
INVERNADA	2016-01-01	51,37
LAJA	2016-01-01	42,48
MELADO	2016-01-01	31,11
POLCURA	2016-01-01	33,36
RALCO	2016-01-01	116,0
RAPEL	2016-01-01	234,58
CHAPO	2016-01-02	8,3
INVERNADA	2016-01-02	53,7
LAJA	2016-01-02	24,57
MELADO	2016-01-02	30,14
POLCURA	2016-01-02	32,5
RALCO	2016-01-02	118,0
RAPEL	2016-01-02	189,86
CHAPO	2016-01-03	4,7
INVERNADA	2016-01-03	51,15
LAJA	2016-01-03	42,71
MELADO	2016-01-03	28,55
POLCURA	2016-01-03	32,53
RALCO	2016-01-03	123,0
RAPEL	2016-01-03	196,88
CHAPO	2016-01-04	7,4
INVERNADA	2016-01-04	46,75
LAJA	2016-01-04	34,02
MELADO	2016-01-04	27,28
POLCURA	2016-01-04	31,71
RALCO	2016-01-04	126,0
RAPEL	2016-01-04	140,0
CHAPO	2016-01-05	32,9
INVERNADA	2016-01-05	49,47
LAJA	2016-01-05	34,05
MELADO	2016-01-05	26,17
POLCURA	2016-01-05	31,22
RALCO	2016-01-05	126,0
RAPEL	2016-01-05	80,56
CHAPO	2016-01-06	15,54
INVERNADA	2016-01-06	46,49
LAJA	2016-01-06	25,76
MELADO	2016-01-06	25,69
POLCURA	2016-01-06	30,88
RALCO	2016-01-06	127,0
RAPEL	2016-01-06	54,86
CHAPO	2016-01-07	4,84
INVERNADA	2016-01-07	46,51
LAJA	2016-01-07	32,06
MELADO	2016-01-07	24,91
POLCURA	2016-01-07	30,64
RALCO	2016-01-07	125,0
RAPEL	2016-01-07	65,9
CHAPO	2016-01-08	4,8
INVERNADA	2016-01-08	42,79
LAJA	2016-01-08	34,11
MELADO	2016-01-08	24,27
POLCURA	2016-01-08	32,12
RALCO	2016-01-08	119,0
RAPEL	2016-01-08	77,29
CHAPO	2016-01-09	4,5
INVERNADA	2016-01-09	44,05
LAJA	2016-01-09	25,25
MELADO	2016-01-09	23,7
POLCURA	2016-01-09	30,46
RALCO	2016-01-09	111,0
RAPEL	2016-01-09	82,36
CHAPO	2016-01-10	0,67
INVERNADA	2016-01-10	46,24
LAJA	2016-01-10	8,47
MELADO	2016-01-10	23,23
POLCURA	2016-01-10	30,27
RALCO	2016-01-10	107,0
RAPEL	2016-01-10	75,49
ANGOSTURA	2016-01-11	37,9449468160646
CHAPO	2016-01-11	0,09
COLBUN	2016-01-11	116,366179487073
INVERNADA	2016-01-11	44,02
LAJA	2016-01-11	50,98
MELADO	2016-01-11	22,34
PANGUE	2016-01-11	0,550764352280169
PEHUENCHE	2016-01-11	85,7613435052578
POLCURA	2016-01-11	30,74
RALCO	2016-01-11	107,0
RAPEL	2016-01-11	102,01
CHAPO	2016-01-12	0,0
COLBUN	2016-01-12	119,672688647854
INVERNADA	2016-01-12	41,96
LAJA	2016-01-12	25,53
MELADO	2016-01-12	22,13
PEHUENCHE	2016-01-12	82,1809606129908
POLCURA	2016-01-12	30,52
RALCO	2016-01-12	112,0
RAPEL	2016-01-12	112,22
ANGOSTURA	2016-01-13	20,7954066270633
CHAPO	2016-01-13	0,1
COLBUN	2016-01-13	108,076532626596
INVERNADA	2016-01-13	42,44
LAJA	2016-01-13	33,92
MELADO	2016-01-13	21,09
PANGUE	2016-01-13	3,52962548446698
PEHUENCHE	2016-01-13	71,7086736575154
POLCURA	2016-01-13	28,11
RALCO	2016-01-13	107,0
RAPEL	2016-01-13	49,72
ANGOSTURA	2016-01-14	55,7002295030889
CHAPO	2016-01-14	4,7
COLBUN	2016-01-14	113,946618193467
INVERNADA	2016-01-14	41,98
LAJA	2016-01-14	16,96
MELADO	2016-01-14	20,42
PANGUE	2016-01-14	8,64337235773343
PEHUENCHE	2016-01-14	76,4321493541258
POLCURA	2016-01-14	28,86
RALCO	2016-01-14	102,0
RAPEL	2016-01-14	52,92
ANGOSTURA	2016-01-15	46,7100075077489
CHAPO	2016-01-15	3,2
COLBUN	2016-01-15	85,5655564146705
