nombre_embalse	fecha	afluente
ANGOSTURA	2022-01-01	38,0838410741039
CHAPO	2022-01-01	208,26
COLBUN	2022-01-01	48,4756010457501
INVERNADA	2022-01-01	14,45703
LAJA	2022-01-01	4,792822
MELADO	2022-01-01	0,59
PANGUE	2022-01-01	-5,86874893910208
PEHUENCHE	2022-01-01	20,2521759340968
POLCURA	2022-01-01	20,44005
RALCO	2022-01-01	53,0
RAPEL	2022-01-01	9,791666
ANGOSTURA	2022-01-02	61,8599375794934
CHAPO	2022-01-02	197,5
COLBUN	2022-01-02	64,606608815562
INVERNADA	2022-01-02	14,80603
LAJA	2022-01-02	43,91525
MELADO	2022-01-02	0,59
PANGUE	2022-01-02	13,2574598319629
PEHUENCHE	2022-01-02	32,5321911458049
POLCURA	2022-01-02	27,87666
RALCO	2022-01-02	94,0
RAPEL	2022-01-02	0,63
ANGOSTURA	2022-01-03	92,0376290740368
CHAPO	2022-01-03	158,53
COLBUN	2022-01-03	49,1169363519857
INVERNADA	2022-01-03	14,00473
LAJA	2022-01-03	11,91156
MELADO	2022-01-03	0,59
PANGUE	2022-01-03	7,38922319670244
PEHUENCHE	2022-01-03	10,5595685561031
POLCURA	2022-01-03	26,73795
RALCO	2022-01-03	137,0
RAPEL	2022-01-03	0,57
ANGOSTURA	2022-01-04	71,9675841296321
CHAPO	2022-01-04	76,6
COLBUN	2022-01-04	54,0985062436134
INVERNADA	2022-01-04	15,62297
LAJA	2022-01-04	46,92123
MELADO	2022-01-04	0,59
PANGUE	2022-01-04	4,02544441374548
PEHUENCHE	2022-01-04	22,3595729065955
POLCURA	2022-01-04	20,99746
RALCO	2022-01-04	134,7
RAPEL	2022-01-04	0,52
ANGOSTURA	2022-01-05	54,2279714177292
CHAPO	2022-01-05	42,6
COLBUN	2022-01-05	36,9106953228152
INVERNADA	2022-01-05	14,79339
LAJA	2022-01-05	20,44973
MELADO	2022-01-05	0,59
PANGUE	2022-01-05	2,29982546761129
PEHUENCHE	2022-01-05	6,66363350770568
POLCURA	2022-01-05	19,83874
RALCO	2022-01-05	104,0
RAPEL	2022-01-05	0,52
ANGOSTURA	2022-01-06	47,2667636404451
CHAPO	2022-01-06	24,3
