anio;mes;dia;barra;tension;valor
2008;6;1;ATACAMA_______220;220;221,68
2008;6;2;ATACAMA_______220;220;214,36
2008;6;3;ATACAMA_______220;220;162,99
2008;6;4;ATACAMA_______220;220;106,05
2008;6;5;ATACAMA_______220;220;152,66
2008;6;6;ATACAMA_______220;220;216,28
2008;6;7;ATACAMA_______220;220;235,48
2008;6;10;ATACAMA_______220;220;269,41
2008;6;11;ATACAMA_______220;220;242,85
2008;6;12;ATACAMA_______220;220;218,06
2008;6;13;ATACAMA_______220;220;274,69
2008;6;14;ATACAMA_______220;220;248,31
2008;6;17;ATACAMA_______220;220;248,10
2008;6;18;ATACAMA_______220;220;234,68
2008;6;19;ATACAMA_______220;220;244,48
2008;6;20;ATACAMA_______220;220;274,43
2008;6;21;ATACAMA_______220;220;247,79
2008;6;24;ATACAMA_______220;220;188,22
2008;6;25;ATACAMA_______220;220;220,71
2008;6;26;ATACAMA_______220;220;308,20
2008;6;27;ATACAMA_______220;220;310,51
2008;6;28;ATACAMA_______220;220;290,16
2008;6;29;ATACAMA_______220;220;265,65
2008;6;30;ATACAMA_______220;220;126,36
2008;6;1;CARDONES______220;220;122,33
2008;6;2;CARDONES______220;220;160,71
2008;6;3;CARDONES______220;220;207,54
2008;6;4;CARDONES______220;220;237,64
2008;6;5;CARDONES______220;220;146,81
2008;6;6;CARDONES______220;220;167,45
2008;6;7;CARDONES______220;220;131,56
2008;6;8;CARDONES______220;220;139,57
2008;6;9;CARDONES______220;220;168,23
2008;6;10;CARDONES______220;220;160,85
2008;6;11;CARDONES______220;220;137,45
2008;6;12;CARDONES______220;220;127,88
2008;6;13;CARDONES______220;220;139,55
2008;6;14;CARDONES______220;220;156,60
2008;6;15;CARDONES______220;220;208,34
2008;6;16;CARDONES______220;220;220,58
2008;6;17;CARDONES______220;220;297,08
2008;6;18;CARDONES______220;220;310,44
2008;6;19;CARDONES______220;220;280,46
2008;6;20;CARDONES______220;220;277,30
2008;6;21;CARDONES______220;220;238,65
2008;6;22;CARDONES______220;220;227,02
2008;6;23;CARDONES______220;220;232,20
2008;6;24;CARDONES______220;220;240,63
2008;6;25;CARDONES______220;220;263,16
2008;6;26;CARDONES______220;220;255,82
2008;6;27;CARDONES______220;220;229,54
2008;6;28;CARDONES______220;220;224,86
2008;6;29;CARDONES______220;220;210,85
2008;6;30;CARDONES______220;220;221,05
2008;6;1;CHARRUA_______220;220;56,42
2008;6;2;CHARRUA_______220;220;117,68
2008;6;3;CHARRUA_______220;220;80,69
2008;6;4;CHARRUA_______220;220;87,02
2008;6;5;CHARRUA_______220;220;123,89
2008;6;6;CHARRUA_______220;220;64,62
2008;6;7;CHARRUA_______220;220;51,39
2008;6;8;CHARRUA_______220;220;55,48
2008;6;9;CHARRUA_______220;220;60,69
2008;6;10;CHARRUA_______220;220;53,95
2008;6;11;CHARRUA_______220;220;74,51
2008;6;12;CHARRUA_______220;220;106,21
2008;6;13;CHARRUA_______220;220;114,90
2008;6;14;CHARRUA_______220;220;127,19
2008;6;15;CHARRUA_______220;220;171,90
2008;6;16;CHARRUA_______220;220;181,54
2008;6;17;CHARRUA_______220;220;245,51
2008;6;18;CHARRUA_______220;220;263,96
2008;6;19;CHARRUA_______220;220;239,50
2008;6;20;CHARRUA_______220;220;236,88
2008;6;21;CHARRUA_______220;220;202,44
2008;6;22;CHARRUA_______220;220;189,38
2008;6;23;CHARRUA_______220;220;192,15
2008;6;24;CHARRUA_______220;220;201,27
2008;6;25;CHARRUA_______220;220;220,66
2008;6;26;CHARRUA_______220;220;214,62
2008;6;27;CHARRUA_______220;220;197,79
2008;6;28;CHARRUA_______220;220;193,90
2008;6;29;CHARRUA_______220;220;184,57
2008;6;30;CHARRUA_______220;220;190,32
2008;6;1;CRUCERO_______220;220;225,70
2008;6;2;CRUCERO_______220;220;218,14
2008;6;3;CRUCERO_______220;220;165,85
2008;6;4;CRUCERO_______220;220;107,78
2008;6;5;CRUCERO_______220;220;155,14
2008;6;6;CRUCERO_______220;220;220,05
2008;6;7;CRUCERO_______220;220;239,49
2008;6;10;CRUCERO_______220;220;274,62
2008;6;11;CRUCERO_______220;220;247,73
2008;6;12;CRUCERO_______220;220;221,89
2008;6;13;CRUCERO_______220;220;279,37
2008;6;14;CRUCERO_______220;220;252,33
2008;6;17;CRUCERO_______220;220;252,28
2008;6;18;CRUCERO_______220;220;237,99
2008;6;19;CRUCERO_______220;220;251,05
2008;6;20;CRUCERO_______220;220;279,10
2008;6;21;CRUCERO_______220;220;250,96
2008;6;24;CRUCERO_______220;220;190,81
2008;6;25;CRUCERO_______220;220;223,80
2008;6;26;CRUCERO_______220;220;312,63
2008;6;27;CRUCERO_______220;220;315,02
2008;6;28;CRUCERO_______220;220;296,80
2008;6;29;CRUCERO_______220;220;268,89
2008;6;30;CRUCERO_______220;220;127,81
2008;6;1;P.AZUCAR______220;220;115,12
2008;6;2;P.AZUCAR______220;220;151,48
2008;6;3;P.AZUCAR______220;220;196,55
2008;6;4;P.AZUCAR______220;220;227,10
2008;6;5;P.AZUCAR______220;220;140,01
2008;6;6;P.AZUCAR______220;220;159,10
2008;6;7;P.AZUCAR______220;220;124,08
2008;6;8;P.AZUCAR______220;220;131,74
2008;6;9;P.AZUCAR______220;220;159,24
2008;6;10;P.AZUCAR______220;220;152,66
2008;6;11;P.AZUCAR______220;220;130,46
2008;6;12;P.AZUCAR______220;220;121,30
2008;6;13;P.AZUCAR______220;220;132,53
2008;6;14;P.AZUCAR______220;220;147,99
2008;6;15;P.AZUCAR______220;220;197,02
2008;6;16;P.AZUCAR______220;220;208,87
2008;6;17;P.AZUCAR______220;220;282,06
2008;6;18;P.AZUCAR______220;220;294,67
2008;6;19;P.AZUCAR______220;220;266,29
2008;6;20;P.AZUCAR______220;220;263,22
2008;6;21;P.AZUCAR______220;220;225,27
2008;6;22;P.AZUCAR______220;220;214,73
2008;6;23;P.AZUCAR______220;220;219,86
2008;6;24;P.AZUCAR______220;220;228,45
2008;6;25;P.AZUCAR______220;220;249,80
2008;6;26;P.AZUCAR______220;220;242,84
2008;6;27;P.AZUCAR______220;220;217,91
2008;6;28;P.AZUCAR______220;220;212,22
2008;6;29;P.AZUCAR______220;220;199,47
2008;6;30;P.AZUCAR______220;220;209,40
2008;6;1;P.MONTT_______220;220;70,77
2008;6;2;P.MONTT_______220;220;147,57
2008;6;3;P.MONTT_______220;220;104,41
2008;6;4;P.MONTT_______220;220;103,91
2008;6;5;P.MONTT_______220;220;135,79
2008;6;6;P.MONTT_______220;220;76,88
