anio;mes;dia;barra;tension;valor
2012;5;1;ATACAMA_______220;220;144,86
2012;5;2;ATACAMA_______220;220;92,02
2012;5;3;ATACAMA_______220;220;58,90
2012;5;4;ATACAMA_______220;220;58,69
2012;5;5;ATACAMA_______220;220;58,18
2012;5;6;ATACAMA_______220;220;57,84
2012;5;7;ATACAMA_______220;220;94,73
2012;5;8;ATACAMA_______220;220;87,65
2012;5;9;ATACAMA_______220;220;57,93
2012;5;10;ATACAMA_______220;220;68,66
2012;5;11;ATACAMA_______220;220;90,53
2012;5;12;ATACAMA_______220;220;123,82
2012;5;13;ATACAMA_______220;220;160,90
2012;5;14;ATACAMA_______220;220;172,61
2012;5;15;ATACAMA_______220;220;196,85
2012;5;16;ATACAMA_______220;220;109,23
2012;5;17;ATACAMA_______220;220;82,93
2012;5;18;ATACAMA_______220;220;140,99
2012;5;19;ATACAMA_______220;220;89,06
2012;5;20;ATACAMA_______220;220;90,57
2012;5;21;ATACAMA_______220;220;86,25
2012;5;22;ATACAMA_______220;220;176,86
2012;5;23;ATACAMA_______220;220;151,64
2012;5;24;ATACAMA_______220;220;135,45
2012;5;25;ATACAMA_______220;220;130,84
2012;5;26;ATACAMA_______220;220;133,44
2012;5;27;ATACAMA_______220;220;151,91
2012;5;28;ATACAMA_______220;220;146,28
2012;5;29;ATACAMA_______220;220;130,36
2012;5;30;ATACAMA_______220;220;108,21
2012;5;31;ATACAMA_______220;220;128,09
2012;5;1;CARDONES______220;220;140,94
2012;5;2;CARDONES______220;220;235,35
2012;5;3;CARDONES______220;220;192,96
2012;5;4;CARDONES______220;220;156,47
2012;5;5;CARDONES______220;220;214,76
2012;5;6;CARDONES______220;220;219,48
2012;5;7;CARDONES______220;220;192,46
2012;5;8;CARDONES______220;220;175,67
2012;5;9;CARDONES______220;220;173,36
2012;5;10;CARDONES______220;220;201,05
2012;5;11;CARDONES______220;220;141,56
2012;5;12;CARDONES______220;220;190,08
2012;5;13;CARDONES______220;220;183,89
2012;5;14;CARDONES______220;220;202,08
2012;5;15;CARDONES______220;220;237,32
2012;5;16;CARDONES______220;220;187,36
2012;5;17;CARDONES______220;220;180,01
2012;5;18;CARDONES______220;220;191,70
2012;5;19;CARDONES______220;220;212,95
2012;5;20;CARDONES______220;220;187,86
2012;5;21;CARDONES______220;220;167,69
2012;5;22;CARDONES______220;220;197,77
2012;5;23;CARDONES______220;220;193,22
2012;5;24;CARDONES______220;220;214,60
2012;5;25;CARDONES______220;220;203,87
2012;5;26;CARDONES______220;220;184,03
2012;5;27;CARDONES______220;220;138,23
2012;5;28;CARDONES______220;220;177,08
2012;5;29;CARDONES______220;220;151,79
2012;5;30;CARDONES______220;220;149,01
2012;5;31;CARDONES______220;220;145,52
2012;5;1;CHARRUA_______220;220;196,68
2012;5;2;CHARRUA_______220;220;268,29
2012;5;3;CHARRUA_______220;220;276,35
2012;5;4;CHARRUA_______220;220;278,51
2012;5;5;CHARRUA_______220;220;282,46
2012;5;6;CHARRUA_______220;220;243,96
2012;5;7;CHARRUA_______220;220;256,71
2012;5;8;CHARRUA_______220;220;286,88
2012;5;9;CHARRUA_______220;220;290,26
2012;5;10;CHARRUA_______220;220;288,15
2012;5;11;CHARRUA_______220;220;281,73
2012;5;12;CHARRUA_______220;220;277,60
2012;5;13;CHARRUA_______220;220;259,95
2012;5;14;CHARRUA_______220;220;277,27
2012;5;15;CHARRUA_______220;220;293,54
2012;5;16;CHARRUA_______220;220;292,93
2012;5;17;CHARRUA_______220;220;255,68
2012;5;18;CHARRUA_______220;220;259,46
2012;5;19;CHARRUA_______220;220;260,17
2012;5;20;CHARRUA_______220;220;236,03
2012;5;21;CHARRUA_______220;220;213,98
2012;5;22;CHARRUA_______220;220;236,30
2012;5;23;CHARRUA_______220;220;264,50
2012;5;24;CHARRUA_______220;220;220,83
2012;5;25;CHARRUA_______220;220;260,70
2012;5;26;CHARRUA_______220;220;236,13
2012;5;27;CHARRUA_______220;220;167,52
2012;5;28;CHARRUA_______220;220;215,15
2012;5;29;CHARRUA_______220;220;185,82
2012;5;30;CHARRUA_______220;220;170,50
2012;5;31;CHARRUA_______220;220;156,62
2012;5;1;CRUCERO_______220;220;145,54
2012;5;2;CRUCERO_______220;220;92,90
2012;5;3;CRUCERO_______220;220;59,12
2012;5;4;CRUCERO_______220;220;59,80
2012;5;5;CRUCERO_______220;220;59,26
2012;5;6;CRUCERO_______220;220;58,92
2012;5;7;CRUCERO_______220;220;95,03
2012;5;8;CRUCERO_______220;220;87,26
2012;5;9;CRUCERO_______220;220;57,87
2012;5;10;CRUCERO_______220;220;68,89
2012;5;11;CRUCERO_______220;220;90,96
2012;5;12;CRUCERO_______220;220;124,43
2012;5;13;CRUCERO_______220;220;161,40
2012;5;14;CRUCERO_______220;220;171,41
2012;5;15;CRUCERO_______220;220;193,74
2012;5;16;CRUCERO_______220;220;108,40
2012;5;17;CRUCERO_______220;220;82,33
2012;5;18;CRUCERO_______220;220;140,06
2012;5;19;CRUCERO_______220;220;88,30
2012;5;20;CRUCERO_______220;220;89,79
2012;5;21;CRUCERO_______220;220;85,38
2012;5;22;CRUCERO_______220;220;174,62
2012;5;23;CRUCERO_______220;220;148,97
2012;5;24;CRUCERO_______220;220;134,30
2012;5;25;CRUCERO_______220;220;129,52
2012;5;26;CRUCERO_______220;220;132,29
2012;5;27;CRUCERO_______220;220;150,61
2012;5;28;CRUCERO_______220;220;145,03
2012;5;29;CRUCERO_______220;220;130,97
2012;5;30;CRUCERO_______220;220;107,60
2012;5;31;CRUCERO_______220;220;126,51
2012;5;1;P.AZUCAR______220;220;183,10
2012;5;2;P.AZUCAR______220;220;251,55
2012;5;3;P.AZUCAR______220;220;257,38
2012;5;4;P.AZUCAR______220;220;248,75
2012;5;5;P.AZUCAR______220;220;254,45
2012;5;6;P.AZUCAR______220;220;235,40
2012;5;7;P.AZUCAR______220;220;235,20
2012;5;8;P.AZUCAR______220;220;256,73
2012;5;9;P.AZUCAR______220;220;257,94
2012;5;10;P.AZUCAR______220;220;256,29
2012;5;11;P.AZUCAR______220;220;152,46
2012;5;12;P.AZUCAR______220;220;205,02
2012;5;13;P.AZUCAR______220;220;198,12
2012;5;14;P.AZUCAR______220;220;219,37
2012;5;15;P.AZUCAR______220;220;257,57
2012;5;16;P.AZUCAR______220;220;258,85
2012;5;17;P.AZUCAR______220;220;259,47
2012;5;18;P.AZUCAR______220;220;254,29
2012;5;19;P.AZUCAR______220;220;249,01
