anio;mes;dia;barra;tension;valor
2020;3;1;ATACAMA_______220;220;41,13
2020;3;2;ATACAMA_______220;220;46,06
2020;3;3;ATACAMA_______220;220;40,58
2020;3;4;ATACAMA_______220;220;46,84
2020;3;5;ATACAMA_______220;220;80,27
2020;3;6;ATACAMA_______220;220;91,27
2020;3;7;ATACAMA_______220;220;88,78
2020;3;8;ATACAMA_______220;220;89,74
2020;3;9;ATACAMA_______220;220;146,97
2020;3;10;ATACAMA_______220;220;121,99
2020;3;11;ATACAMA_______220;220;79,65
2020;3;12;ATACAMA_______220;220;69,40
2020;3;13;ATACAMA_______220;220;76,13
2020;3;14;ATACAMA_______220;220;51,94
2020;3;15;ATACAMA_______220;220;47,40
2020;3;16;ATACAMA_______220;220;61,20
2020;3;17;ATACAMA_______220;220;92,13
2020;3;18;ATACAMA_______220;220;81,82
2020;3;19;ATACAMA_______220;220;77,36
2020;3;20;ATACAMA_______220;220;65,82
2020;3;21;ATACAMA_______220;220;51,91
2020;3;22;ATACAMA_______220;220;44,60
2020;3;23;ATACAMA_______220;220;38,30
2020;3;24;ATACAMA_______220;220;44,06
2020;3;25;ATACAMA_______220;220;43,60
2020;3;26;ATACAMA_______220;220;46,78
2020;3;27;ATACAMA_______220;220;38,11
2020;3;28;ATACAMA_______220;220;37,47
2020;3;29;ATACAMA_______220;220;35,66
2020;3;30;ATACAMA_______220;220;45,68
2020;3;31;ATACAMA_______220;220;36,93
2020;3;1;CARDONES______220;220;40,36
2020;3;2;CARDONES______220;220;59,61
2020;3;3;CARDONES______220;220;53,97
2020;3;4;CARDONES______220;220;53,95
2020;3;5;CARDONES______220;220;82,02
2020;3;6;CARDONES______220;220;91,33
2020;3;7;CARDONES______220;220;86,74
2020;3;8;CARDONES______220;220;87,28
2020;3;9;CARDONES______220;220;146,27
2020;3;10;CARDONES______220;220;141,34
2020;3;11;CARDONES______220;220;111,31
2020;3;12;CARDONES______220;220;86,97
2020;3;13;CARDONES______220;220;76,57
2020;3;14;CARDONES______220;220;50,42
2020;3;15;CARDONES______220;220;46,06
2020;3;16;CARDONES______220;220;60,30
2020;3;17;CARDONES______220;220;91,54
2020;3;18;CARDONES______220;220;82,22
2020;3;19;CARDONES______220;220;77,39
2020;3;20;CARDONES______220;220;66,51
2020;3;21;CARDONES______220;220;50,82
2020;3;22;CARDONES______220;220;42,95
2020;3;23;CARDONES______220;220;37,34
2020;3;24;CARDONES______220;220;43,11
2020;3;25;CARDONES______220;220;42,71
2020;3;26;CARDONES______220;220;46,14
2020;3;27;CARDONES______220;220;39,12
2020;3;28;CARDONES______220;220;37,20
2020;3;29;CARDONES______220;220;34,29
2020;3;30;CARDONES______220;220;44,29
2020;3;31;CARDONES______220;220;36,82
2020;3;1;CHARRUA_______220;220;41,27
2020;3;2;CHARRUA_______220;220;61,60
2020;3;3;CHARRUA_______220;220;56,08
2020;3;4;CHARRUA_______220;220;55,30
2020;3;5;CHARRUA_______220;220;83,72
2020;3;6;CHARRUA_______220;220;93,52
2020;3;7;CHARRUA_______220;220;86,32
2020;3;8;CHARRUA_______220;220;86,20
2020;3;9;CHARRUA_______220;220;149,62
2020;3;10;CHARRUA_______220;220;141,77
2020;3;11;CHARRUA_______220;220;115,34
2020;3;12;CHARRUA_______220;220;90,35
2020;3;13;CHARRUA_______220;220;77,77
2020;3;14;CHARRUA_______220;220;50,14
2020;3;15;CHARRUA_______220;220;45,75
2020;3;16;CHARRUA_______220;220;61,19
