anio;mes;dia;barra;tension;valor
2023;2;17;ATACAMA_______220;220;98,04
2023;2;5;CRUCERO_______220;220;106,90
2023;2;20;CHARRUA_______220;220;134,92
2023;2;22;CRUCERO_______220;220;113,34
2023;2;11;QUILLOTA______220;220;115,72
2023;2;19;P.MONTT_______220;220;104,96
2023;2;28;QUILLOTA______220;220;89,27
2023;2;17;P.AZUCAR______220;220;95,02
2023;2;24;TARAPACA______220;220;108,72
2023;2;7;CARDONES______220;220;146,76
2023;2;3;CHARRUA_______220;220;118,77
2023;2;7;TARAPACA______220;220;156,46
2023;2;26;ATACAMA_______220;220;81,16
2023;2;2;P.MONTT_______220;220;262,29
2023;2;24;CARDONES______220;220;105,25
2023;2;12;CHARRUA_______220;220;78,18
2023;2;9;ATACAMA_______220;220;125,29
2023;2;13;CRUCERO_______220;220;105,07
2023;2;25;CARDONES______220;220;100,73
2023;2;2;QUILLOTA______220;220;83,59
2023;2;19;QUILLOTA______220;220;86,02
2023;2;11;P.MONTT_______220;220;171,25
2023;2;28;P.MONTT_______220;220;277,02
2023;2;25;P.AZUCAR______220;220;100,07
2023;2;18;ATACAMA_______220;220;113,08
2023;2;15;TARAPACA______220;220;90,63
2023;2;16;CARDONES______220;220;89,03
2023;2;8;P.AZUCAR______220;220;250,11
2023;2;1;ATACAMA_______220;220;85,67
2023;2;4;CHARRUA_______220;220;111,47
2023;2;18;P.AZUCAR______220;220;109,87
2023;2;17;TARAPACA______220;220;101,04
2023;2;6;CRUCERO_______220;220;128,69
2023;2;21;CHARRUA_______220;220;125,78
2023;2;23;CRUCERO_______220;220;104,15
2023;2;10;QUILLOTA______220;220;157,38
2023;2;27;QUILLOTA______220;220;84,59
2023;2;6;CARDONES______220;220;125,09
2023;2;8;TARAPACA______220;220;182,49
2023;2;27;ATACAMA_______220;220;91,30
2023;2;25;TARAPACA______220;220;107,00
2023;2;1;P.MONTT_______220;220;244,32
2023;2;1;P.AZUCAR______220;220;84,80
2023;2;23;CARDONES______220;220;103,81
2023;2;10;ATACAMA_______220;220;186,53
2023;2;18;P.MONTT_______220;220;215,43
2023;2;26;P.AZUCAR______220;220;76,45
2023;2;14;CRUCERO_______220;220;137,84
2023;2;13;CHARRUA_______220;220;94,98
2023;2;1;QUILLOTA______220;220;82,55
2023;2;18;QUILLOTA______220;220;106,54
2023;2;27;P.MONTT_______220;220;184,10
2023;2;19;ATACAMA_______220;220;94,03
2023;2;16;TARAPACA______220;220;95,07
2023;2;15;CARDONES______220;220;82,77
2023;2;2;ATACAMA_______220;220;92,19
2023;2;9;P.AZUCAR______220;220;158,56
2023;2;10;P.MONTT_______220;220;276,88
2023;2;18;TARAPACA______220;220;115,58
2023;2;1;CARDONES______220;220;85,35
2023;2;5;CHARRUA_______220;220;96,94
2023;2;1;TARAPACA______220;220;90,64
2023;2;8;P.MONTT_______220;220;314,06
2023;2;18;CARDONES______220;220;110,28
2023;2;15;ATACAMA_______220;220;74,61
2023;2;22;CHARRUA_______220;220;123,32
