anio;mes;dia;barra;tension;valor
2011;12;1;ATACAMA_______220;220;58,44
2011;12;2;ATACAMA_______220;220;59,08
2011;12;3;ATACAMA_______220;220;56,35
2011;12;4;ATACAMA_______220;220;60,14
2011;12;5;ATACAMA_______220;220;62,77
2011;12;6;ATACAMA_______220;220;62,01
2011;12;7;ATACAMA_______220;220;58,84
2011;12;8;ATACAMA_______220;220;62,86
2011;12;9;ATACAMA_______220;220;64,63
2011;12;10;ATACAMA_______220;220;63,97
2011;12;11;ATACAMA_______220;220;63,61
2011;12;12;ATACAMA_______220;220;63,87
2011;12;13;ATACAMA_______220;220;86,05
2011;12;14;ATACAMA_______220;220;62,30
2011;12;15;ATACAMA_______220;220;59,26
2011;12;16;ATACAMA_______220;220;55,37
2011;12;17;ATACAMA_______220;220;58,13
2011;12;18;ATACAMA_______220;220;59,92
2011;12;19;ATACAMA_______220;220;60,25
2011;12;20;ATACAMA_______220;220;63,71
2011;12;21;ATACAMA_______220;220;62,33
2011;12;22;ATACAMA_______220;220;61,98
2011;12;23;ATACAMA_______220;220;63,11
2011;12;24;ATACAMA_______220;220;63,18
2011;12;25;ATACAMA_______220;220;62,36
2011;12;26;ATACAMA_______220;220;80,04
2011;12;27;ATACAMA_______220;220;67,35
2011;12;28;ATACAMA_______220;220;77,52
2011;12;29;ATACAMA_______220;220;95,92
2011;12;30;ATACAMA_______220;220;59,15
2011;12;31;ATACAMA_______220;220;58,33
2011;12;1;CARDONES______220;220;199,15
2011;12;2;CARDONES______220;220;204,93
2011;12;3;CARDONES______220;220;212,84
2011;12;4;CARDONES______220;220;247,44
2011;12;5;CARDONES______220;220;242,00
2011;12;6;CARDONES______220;220;237,89
2011;12;7;CARDONES______220;220;237,31
2011;12;8;CARDONES______220;220;236,18
2011;12;9;CARDONES______220;220;233,68
2011;12;10;CARDONES______220;220;222,03
2011;12;11;CARDONES______220;220;214,87
2011;12;12;CARDONES______220;220;224,35
2011;12;13;CARDONES______220;220;225,85
2011;12;14;CARDONES______220;220;220,59
2011;12;15;CARDONES______220;220;218,88
2011;12;16;CARDONES______220;220;229,20
2011;12;17;CARDONES______220;220;241,25
2011;12;18;CARDONES______220;220;223,95
2011;12;19;CARDONES______220;220;255,42
2011;12;20;CARDONES______220;220;235,88
2011;12;21;CARDONES______220;220;198,65
2011;12;22;CARDONES______220;220;192,82
2011;12;23;CARDONES______220;220;231,26
2011;12;24;CARDONES______220;220;254,40
2011;12;25;CARDONES______220;220;226,35
2011;12;26;CARDONES______220;220;261,02
2011;12;27;CARDONES______220;220;266,76
2011;12;28;CARDONES______220;220;247,37
2011;12;29;CARDONES______220;220;215,08
2011;12;30;CARDONES______220;220;233,34
2011;12;31;CARDONES______220;220;210,09
2011;12;1;CHARRUA_______220;220;163,09
2011;12;2;CHARRUA_______220;220;161,63
2011;12;3;CHARRUA_______220;220;161,46
2011;12;4;CHARRUA_______220;220;158,61
2011;12;5;CHARRUA_______220;220;161,27
2011;12;6;CHARRUA_______220;220;167,03
2011;12;7;CHARRUA_______220;220;164,26
2011;12;8;CHARRUA_______220;220;165,39
2011;12;9;CHARRUA_______220;220;175,79
2011;12;10;CHARRUA_______220;220;161,94
2011;12;11;CHARRUA_______220;220;162,37
2011;12;12;CHARRUA_______220;220;167,58
2011;12;13;CHARRUA_______220;220;168,69
2011;12;14;CHARRUA_______220;220;158,69
2011;12;15;CHARRUA_______220;220;158,66
2011;12;16;CHARRUA_______220;220;164,38
2011;12;17;CHARRUA_______220;220;159,52
2011;12;18;CHARRUA_______220;220;145,63
2011;12;19;CHARRUA_______220;220;148,04
2011;12;20;CHARRUA_______220;220;159,92
2011;12;21;CHARRUA_______220;220;137,20
2011;12;22;CHARRUA_______220;220;141,67
2011;12;23;CHARRUA_______220;220;157,64
