anio;mes;dia;barra;tension;valor
2022;8;2;QUILLOTA______220;220;145,24
2022;8;18;P.MONTT_______220;220;78,97
2022;8;19;QUILLOTA______220;220;95,18
2022;8;16;P.AZUCAR______220;220;100,70
2022;8;15;CARDONES______220;220;81,19
2022;8;15;TARAPACA______220;220;88,18
2022;8;2;CHARRUA_______220;220;117,23
2022;8;16;ATACAMA_______220;220;83,99
2022;8;1;P.MONTT_______220;220;299,92
2022;8;11;CHARRUA_______220;220;118,79
2022;8;13;CRUCERO_______220;220;77,31
2022;8;28;CHARRUA_______220;220;53,57
2022;8;25;P.AZUCAR______220;220;76,97
2022;8;30;CRUCERO_______220;220;105,07
2022;8;10;QUILLOTA______220;220;111,88
2022;8;10;P.MONTT_______220;220;237,01
2022;8;27;QUILLOTA______220;220;67,05
2022;8;27;P.MONTT_______220;220;88,98
2022;8;7;CARDONES______220;220;82,36
2022;8;23;TARAPACA______220;220;99,07
2022;8;24;P.AZUCAR______220;220;89,45
2022;8;7;P.AZUCAR______220;220;81,45
2022;8;7;ATACAMA_______220;220;87,86
2022;8;24;ATACAMA_______220;220;85,87
2022;8;6;TARAPACA______220;220;121,11
2022;8;3;CHARRUA_______220;220;165,13
2022;8;4;CRUCERO_______220;220;96,51
2022;8;21;CRUCERO_______220;220;75,27
2022;8;24;CARDONES______220;220;89,19
2022;8;20;CHARRUA_______220;220;73,99
2022;8;1;QUILLOTA______220;220;153,06
2022;8;18;QUILLOTA______220;220;85,48
2022;8;31;CARDONES______220;220;92,83
2022;8;15;ATACAMA_______220;220;78,21
2022;8;14;CARDONES______220;220;96,27
2022;8;17;P.MONTT_______220;220;105,18
2022;8;26;P.AZUCAR______220;220;105,50
2022;8;12;CHARRUA_______220;220;101,54
2022;8;9;P.AZUCAR______220;220;124,51
2022;8;16;TARAPACA______220;220;93,16
2022;8;14;CRUCERO_______220;220;97,90
2022;8;29;CHARRUA_______220;220;120,67
2022;8;9;QUILLOTA______220;220;122,94
2022;8;31;CRUCERO_______220;220;96,46
2022;8;26;QUILLOTA______220;220;107,19
2022;8;26;P.MONTT_______220;220;187,26
2022;8;8;P.AZUCAR______220;220;109,04
2022;8;6;ATACAMA_______220;220;115,70
2022;8;23;CARDONES______220;220;95,61
2022;8;23;ATACAMA_______220;220;93,43
2022;8;7;TARAPACA______220;220;87,50
2022;8;6;CARDONES______220;220;113,87
2022;8;9;P.MONTT_______220;220;277,03
2022;8;4;CHARRUA_______220;220;128,50
2022;8;17;P.AZUCAR______220;220;96,10
2022;8;24;TARAPACA______220;220;93,07
2022;8;5;CRUCERO_______220;220;96,18
2022;8;22;CRUCERO_______220;220;106,66
2022;8;21;CHARRUA_______220;220;64,47
2022;8;17;QUILLOTA______220;220;114,45
2022;8;14;P.AZUCAR______220;220;98,49
2022;8;4;QUILLOTA______220;220;133,69
2022;8;16;P.MONTT_______220;220;77,67
2022;8;21;QUILLOTA______220;220;70,45
2022;8;2;CRUCERO_______220;220;153,49
2022;8;19;CRUCERO_______220;220;98,30
2022;8;31;P.AZUCAR______220;220;136,44
2022;8;28;CRUCERO_______220;220;80,39
2022;8;17;CARDONES______220;220;95,62
2022;8;17;TARAPACA______220;220;92,73
2022;8;1;ATACAMA_______220;220;169,82
2022;8;18;ATACAMA_______220;220;85,69
2022;8;13;CHARRUA_______220;220;68,99
2022;8;30;CHARRUA_______220;220;144,14
2022;8;22;P.AZUCAR______220;220;112,97
2022;8;5;P.AZUCAR______220;220;121,50
2022;8;12;QUILLOTA______220;220;109,98
2022;8;10;CRUCERO_______220;220;117,92
2022;8;8;P.MONTT_______220;220;297,41
2022;8;29;QUILLOTA______220;220;126,73
2022;8;27;CRUCERO_______220;220;69,73
2022;8;25;P.MONTT_______220;220;273,10
2022;8;25;TARAPACA______220;220;80,46
2022;8;9;CARDONES______220;220;124,29
2022;8;9;ATACAMA_______220;220;124,96
2022;8;8;TARAPACA______220;220;121,78
2022;8;26;ATACAMA_______220;220;95,05
2022;8;5;CHARRUA_______220;220;115,31
2022;8;26;CARDONES______220;220;101,99
2022;8;22;CHARRUA_______220;220;122,05
2022;8;31;CHARRUA_______220;220;129,21
2022;8;3;QUILLOTA______220;220;191,69
2022;8;20;QUILLOTA______220;220;79,04
2022;8;15;P.AZUCAR______220;220;80,84
2022;8;3;CRUCERO_______220;220;143,60
2022;8;12;CRUCERO_______220;220;103,50
2022;8;17;ATACAMA_______220;220;84,63
2022;8;1;TARAPACA______220;220;170,09
2022;8;29;CRUCERO_______220;220;83,78
2022;8;16;CARDONES______220;220;98,70
2022;8;15;P.MONTT_______220;220;34,54
2022;8;14;CHARRUA_______220;220;89,13
2022;8;18;TARAPACA______220;220;93,44
2022;8;6;P.AZUCAR______220;220;171,30
2022;8;23;CHARRUA_______220;220;92,94
2022;8;11;QUILLOTA______220;220;125,78
2022;8;28;QUILLOTA______220;220;56,64
2022;8;24;P.MONTT_______220;220;327,39
2022;8;11;CRUCERO_______220;220;113,26
2022;8;23;P.AZUCAR______220;220;97,15
2022;8;20;CRUCERO_______220;220;84,44
2022;8;8;ATACAMA_______220;220;122,37
2022;8;25;CARDONES______220;220;76,87
2022;8;9;TARAPACA______220;220;128,75
2022;8;25;ATACAMA_______220;220;72,85
2022;8;8;CARDONES______220;220;116,42
2022;8;7;P.MONTT_______220;220;265,60
2022;8;6;CHARRUA_______220;220;153,44
2022;8;26;TARAPACA______220;220;103,46
2022;8;15;CHARRUA_______220;220;65,83
2022;8;29;ATACAMA_______220;220;75,26
2022;8;17;CRUCERO_______220;220;97,54
2022;8;28;CARDONES______220;220;78,22
2022;8;28;TARAPACA______220;220;82,82
2022;8;29;P.AZUCAR______220;220;80,66
2022;8;6;QUILLOTA______220;220;167,01
2022;8;14;P.MONTT_______220;220;82,20
2022;8;23;QUILLOTA______220;220;97,09
2022;8;31;P.MONTT_______220;220;140,30
2022;8;12;P.AZUCAR______220;220;106,51
2022;8;19;CARDONES______220;220;96,44
2022;8;19;TARAPACA______220;220;100,84
2022;8;3;ATACAMA_______220;220;145,58
2022;8;2;CARDONES______220;220;149,72
2022;8;2;TARAPACA______220;220;156,95
2022;8;20;ATACAMA_______220;220;77,32
2022;8;7;CHARRUA_______220;220;77,65
2022;8;8;CRUCERO_______220;220;118,90
2022;8;25;CRUCERO_______220;220;78,24
2022;8;20;CARDONES______220;220;81,77
2022;8;24;CHARRUA_______220;220;84,35
2022;8;14;QUILLOTA______220;220;99,07
2022;8;6;P.MONTT_______220;220;337,55
2022;8;31;QUILLOTA______220;220;136,51
2022;8;23;P.MONTT_______220;220;344,25
2022;8;20;P.AZUCAR______220;220;81,24
2022;8;11;CARDONES______220;220;116,49
2022;8;27;TARAPACA______220;220;72,03
2022;8;11;ATACAMA_______220;220;108,66
2022;8;3;P.AZUCAR______220;220;197,68
2022;8;28;ATACAMA_______220;220;74,02
2022;8;10;TARAPACA______220;220;121,03
2022;8;29;TARAPACA______220;220;86,31
2022;8;30;P.AZUCAR______220;220;151,38
2022;8;13;P.AZUCAR______220;220;74,88
2022;8;16;CHARRUA_______220;220;118,21
2022;8;12;TARAPACA______220;220;106,45
2022;8;1;CRUCERO_______220;220;166,13
2022;8;18;CRUCERO_______220;220;90,78
2022;8;5;QUILLOTA______220;220;120,32
2022;8;22;QUILLOTA______220;220;127,88
2022;8;30;P.MONTT_______220;220;157,82
2022;8;1;CARDONES______220;220;158,66
2022;8;2;ATACAMA_______220;220;159,35
2022;8;19;ATACAMA_______220;220;92,70
2022;8;3;TARAPACA______220;220;147,76
2022;8;18;CARDONES______220;220;87,55
2022;8;13;P.MONTT_______220;220;173,63
2022;8;8;CHARRUA_______220;220;94,72
2022;8;20;TARAPACA______220;220;87,12
2022;8;9;CRUCERO_______220;220;125,65
2022;8;21;P.AZUCAR______220;220;72,74
2022;8;26;CRUCERO_______220;220;101,44
2022;8;25;CHARRUA_______220;220;71,15
2022;8;13;QUILLOTA______220;220;75,11
2022;8;30;QUILLOTA______220;220;151,26
2022;8;22;P.MONTT_______220;220;227,31
2022;8;10;ATACAMA_______220;220;120,90
2022;8;27;CARDONES______220;220;71,68
2022;8;4;P.AZUCAR______220;220;135,73
2022;8;11;TARAPACA______220;220;116,24
2022;8;27;ATACAMA_______220;220;65,78
