anio;mes;dia;barra;tension;valor
2023;1;31;ATACAMA_______220;220;133,88
2023;1;14;ATACAMA_______220;220;72,01
2023;1;8;QUILLOTA______220;220;70,41
2023;1;25;QUILLOTA______220;220;80,73
2023;1;14;P.AZUCAR______220;220;74,52
2023;1;21;TARAPACA______220;220;92,31
2023;1;21;CARDONES______220;220;84,80
2023;1;4;TARAPACA______220;220;78,30
2023;1;4;CARDONES______220;220;71,86
2023;1;17;CHARRUA_______220;220;112,76
2023;1;16;P.MONTT_______220;220;231,88
2023;1;2;CRUCERO_______220;220;66,68
2023;1;31;P.AZUCAR______220;220;129,08
2023;1;19;CRUCERO_______220;220;125,61
2023;1;23;ATACAMA_______220;220;158,15
2023;1;6;ATACAMA_______220;220;75,52
2023;1;16;QUILLOTA______220;220;109,25
2023;1;29;TARAPACA______220;220;119,33
2023;1;5;P.AZUCAR______220;220;72,34
2023;1;22;P.AZUCAR______220;220;99,41
2023;1;13;CARDONES______220;220;89,33
2023;1;12;TARAPACA______220;220;109,17
2023;1;30;CARDONES______220;220;127,05
2023;1;10;CRUCERO_______220;220;96,03
2023;1;8;P.MONTT_______220;220;143,24
2023;1;26;CHARRUA_______220;220;69,18
2023;1;9;CHARRUA_______220;220;158,19
2023;1;27;CRUCERO_______220;220;73,80
2023;1;25;P.MONTT_______220;220;234,99
2023;1;3;CRUCERO_______220;220;67,03
2023;1;15;ATACAMA_______220;220;68,85
2023;1;20;CRUCERO_______220;220;104,51
2023;1;6;P.MONTT_______220;220;186,66
2023;1;7;QUILLOTA______220;220;73,37
2023;1;23;P.MONTT_______220;220;215,19
2023;1;24;QUILLOTA______220;220;102,49
2023;1;20;CARDONES______220;220;101,30
2023;1;5;TARAPACA______220;220;82,82
2023;1;3;CARDONES______220;220;64,30
2023;1;15;P.MONTT_______220;220;131,06
2023;1;18;CHARRUA_______220;220;108,96
2023;1;15;P.AZUCAR______220;220;69,75
2023;1;1;CHARRUA_______220;220;58,47
2023;1;24;ATACAMA_______220;220;104,42
2023;1;22;TARAPACA______220;220;109,10
2023;1;27;CHARRUA_______220;220;64,59
2023;1;7;ATACAMA_______220;220;74,48
2023;1;10;CHARRUA_______220;220;111,96
2023;1;28;CRUCERO_______220;220;85,44
2023;1;15;QUILLOTA______220;220;67,68
2023;1;12;CARDONES______220;220;100,35
2023;1;13;TARAPACA______220;220;96,47
2023;1;29;CARDONES______220;220;110,57
2023;1;7;P.MONTT_______220;220;172,23
2023;1;24;P.MONTT_______220;220;235,00
2023;1;30;TARAPACA______220;220;135,17
2023;1;6;P.AZUCAR______220;220;76,63
2023;1;16;ATACAMA_______220;220;101,65
2023;1;23;P.AZUCAR______220;220;148,80
2023;1;11;CRUCERO_______220;220;91,50
2023;1;5;P.MONTT_______220;220;206,96
2023;1;19;CHARRUA_______220;220;123,08
2023;1;2;CHARRUA_______220;220;59,74
2023;1;22;P.MONTT_______220;220;198,15
2023;1;3;P.AZUCAR______220;220;63,47
2023;1;20;P.AZUCAR______220;220;100,46
2023;1;29;ATACAMA_______220;220;114,59
2023;1;12;ATACAMA_______220;220;102,19
2023;1;10;QUILLOTA______220;220;112,22
2023;1;27;QUILLOTA______220;220;66,37
2023;1;12;P.AZUCAR______220;220;98,56
2023;1;29;P.AZUCAR______220;220;107,82
2023;1;17;CRUCERO_______220;220;108,68
2023;1;6;CARDONES______220;220;77,55
2023;1;23;TARAPACA______220;220;159,60
2023;1;23;CARDONES______220;220;150,45
2023;1;6;TARAPACA______220;220;85,40
2023;1;24;CARDONES______220;220;98,86
2023;1;14;P.MONTT_______220;220;211,14
2023;1;28;CHARRUA_______220;220;73,27
2023;1;11;CHARRUA_______220;220;82,82
2023;1;31;P.MONTT_______220;220;163,71
2023;1;11;P.AZUCAR______220;220;87,46
2023;1;28;P.AZUCAR______220;220;79,27
2023;1;21;ATACAMA_______220;220;87,53
2023;1;4;ATACAMA_______220;220;63,25
2023;1;1;QUILLOTA______220;220;58,68
2023;1;18;QUILLOTA______220;220;108,47
2023;1;8;CRUCERO_______220;220;79,50
2023;1;25;CRUCERO_______220;220;92,26
2023;1;31;TARAPACA______220;220;133,89
2023;1;15;CARDONES______220;220;70,73
2023;1;14;TARAPACA______220;220;79,91
2023;1;20;CHARRUA_______220;220;98,20
2023;1;3;CHARRUA_______220;220;61,06
2023;1;30;ATACAMA_______220;220;133,76
2023;1;16;TARAPACA______220;220;106,11
2023;1;13;ATACAMA_______220;220;85,10
2023;1;4;P.MONTT_______220;220;72,75
2023;1;9;QUILLOTA______220;220;158,57
2023;1;21;P.MONTT_______220;220;234,24
2023;1;26;QUILLOTA______220;220;70,75
2023;1;30;P.AZUCAR______220;220;124,87
2023;1;13;P.AZUCAR______220;220;87,98
2023;1;1;CRUCERO_______220;220;65,44
2023;1;22;CARDONES______220;220;101,28
2023;1;7;TARAPACA______220;220;85,48
2023;1;5;CARDONES______220;220;73,57
2023;1;18;CRUCERO_______220;220;97,34
2023;1;13;P.MONTT_______220;220;235,95
2023;1;30;P.MONTT_______220;220;200,91
2023;1;24;TARAPACA______220;220;105,91
2023;1;12;CHARRUA_______220;220;93,18
2023;1;22;ATACAMA_______220;220;106,51
2023;1;29;CHARRUA_______220;220;99,79
2023;1;5;ATACAMA_______220;220;68,53
2023;1;17;QUILLOTA______220;220;112,70
2023;1;4;P.AZUCAR______220;220;71,82
2023;1;21;P.AZUCAR______220;220;82,85
2023;1;9;CRUCERO_______220;220;119,89
2023;1;14;CARDONES______220;220;75,25
2023;1;26;CRUCERO_______220;220;80,24
2023;1;15;TARAPACA______220;220;75,75
2023;1;31;CARDONES______220;220;129,11
2023;1;1;P.AZUCAR______220;220;61,06
2023;1;18;P.AZUCAR______220;220;94,66
2023;1;17;TARAPACA______220;220;111,42
2023;1;17;CARDONES______220;220;105,01
2023;1;3;P.MONTT_______220;220;176,98
2023;1;21;CHARRUA_______220;220;77,53
2023;1;4;CHARRUA_______220;220;69,05
2023;1;20;P.MONTT_______220;220;265,27
2023;1;6;CRUCERO_______220;220;83,06
2023;1;23;CRUCERO_______220;220;155,42
2023;1;27;ATACAMA_______220;220;71,91
2023;1;10;ATACAMA_______220;220;87,19
2023;1;12;QUILLOTA______220;220;94,72
2023;1;29;QUILLOTA______220;220;103,27
2023;1;25;TARAPACA______220;220;94,97
2023;1;9;P.AZUCAR______220;220;117,16
2023;1;26;P.AZUCAR______220;220;73,89
2023;1;9;CARDONES______220;220;116,10
2023;1;8;TARAPACA______220;220;81,71
2023;1;26;CARDONES______220;220;75,98
2023;1;13;CHARRUA_______220;220;83,24
2023;1;14;CRUCERO_______220;220;77,61
2023;1;12;P.MONTT_______220;220;206,43
2023;1;30;CHARRUA_______220;220;116,36
2023;1;31;CRUCERO_______220;220;130,74
2023;1;29;P.MONTT_______220;220;194,08
2023;1;19;ATACAMA_______220;220;129,71
2023;1;2;ATACAMA_______220;220;66,45
2023;1;3;QUILLOTA______220;220;61,94
2023;1;20;QUILLOTA______220;220;98,10
2023;1;16;CARDONES______220;220;99,54
2023;1;1;TARAPACA______220;220;67,52
2023;1;2;P.AZUCAR______220;220;62,57
2023;1;22;CHARRUA_______220;220;92,78
2023;1;19;P.AZUCAR______220;220;123,96
2023;1;5;CHARRUA_______220;220;68,10
2023;1;28;ATACAMA_______220;220;83,63
2023;1;18;TARAPACA______220;220;100,15
