anio;mes;dia;barra;tension;valor
2009;2;3;ATACAMA_______220;220;113,67
2009;2;4;ATACAMA_______220;220;99,76
2009;2;5;ATACAMA_______220;220;103,24
2009;2;6;ATACAMA_______220;220;95,52
2009;2;7;ATACAMA_______220;220;96,69
2009;2;10;ATACAMA_______220;220;83,62
2009;2;11;ATACAMA_______220;220;75,87
2009;2;12;ATACAMA_______220;220;98,90
2009;2;13;ATACAMA_______220;220;94,47
2009;2;14;ATACAMA_______220;220;92,43
2009;2;17;ATACAMA_______220;220;84,95
2009;2;18;ATACAMA_______220;220;80,95
2009;2;19;ATACAMA_______220;220;77,19
2009;2;20;ATACAMA_______220;220;71,33
2009;2;21;ATACAMA_______220;220;70,70
2009;2;22;ATACAMA_______220;220;73,86
2009;2;24;ATACAMA_______220;220;70,44
2009;2;25;ATACAMA_______220;220;57,29
2009;2;26;ATACAMA_______220;220;59,15
2009;2;27;ATACAMA_______220;220;79,24
2009;2;28;ATACAMA_______220;220;79,59
2009;2;1;CARDONES______220;220;130,97
2009;2;2;CARDONES______220;220;149,28
2009;2;3;CARDONES______220;220;154,92
2009;2;4;CARDONES______220;220;161,54
2009;2;5;CARDONES______220;220;161,55
2009;2;6;CARDONES______220;220;158,40
2009;2;7;CARDONES______220;220;156,53
2009;2;8;CARDONES______220;220;152,68
2009;2;9;CARDONES______220;220;155,47
2009;2;10;CARDONES______220;220;158,77
2009;2;11;CARDONES______220;220;159,42
2009;2;12;CARDONES______220;220;161,35
2009;2;13;CARDONES______220;220;158,59
2009;2;14;CARDONES______220;220;156,80
2009;2;15;CARDONES______220;220;152,82
2009;2;16;CARDONES______220;220;157,55
2009;2;17;CARDONES______220;220;158,22
2009;2;18;CARDONES______220;220;158,41
2009;2;19;CARDONES______220;220;158,32
2009;2;20;CARDONES______220;220;159,23
2009;2;21;CARDONES______220;220;155,39
2009;2;22;CARDONES______220;220;144,59
2009;2;23;CARDONES______220;220;153,69
2009;2;24;CARDONES______220;220;156,15
2009;2;25;CARDONES______220;220;155,39
2009;2;26;CARDONES______220;220;155,25
2009;2;27;CARDONES______220;220;155,45
2009;2;28;CARDONES______220;220;154,01
2009;2;1;CHARRUA_______220;220;115,58
2009;2;2;CHARRUA_______220;220;136,13
2009;2;3;CHARRUA_______220;220;143,43
2009;2;4;CHARRUA_______220;220;145,89
2009;2;5;CHARRUA_______220;220;145,73
2009;2;6;CHARRUA_______220;220;143,89
2009;2;7;CHARRUA_______220;220;143,26
2009;2;8;CHARRUA_______220;220;142,10
2009;2;9;CHARRUA_______220;220;143,28
2009;2;10;CHARRUA_______220;220;145,56
2009;2;11;CHARRUA_______220;220;145,00
2009;2;12;CHARRUA_______220;220;146,73
2009;2;13;CHARRUA_______220;220;143,08
2009;2;14;CHARRUA_______220;220;142,68
2009;2;15;CHARRUA_______220;220;140,43
2009;2;16;CHARRUA_______220;220;141,55
2009;2;17;CHARRUA_______220;220;142,77
2009;2;18;CHARRUA_______220;220;142,77
2009;2;19;CHARRUA_______220;220;142,78
2009;2;20;CHARRUA_______220;220;146,99
2009;2;21;CHARRUA_______220;220;141,11
2009;2;22;CHARRUA_______220;220;131,84
2009;2;23;CHARRUA_______220;220;138,32
2009;2;24;CHARRUA_______220;220;141,84
2009;2;25;CHARRUA_______220;220;141,03
2009;2;26;CHARRUA_______220;220;140,76
2009;2;27;CHARRUA_______220;220;141,22
2009;2;28;CHARRUA_______220;220;141,35
2009;2;2;CRUCERO_______220;220;97,20
2009;2;3;CRUCERO_______220;220;116,27
2009;2;4;CRUCERO_______220;220;100,89
2009;2;5;CRUCERO_______220;220;108,46
2009;2;6;CRUCERO_______220;220;98,64
2009;2;7;CRUCERO_______220;220;98,33
2009;2;9;CRUCERO_______220;220;86,52
2009;2;10;CRUCERO_______220;220;84,60
2009;2;11;CRUCERO_______220;220;76,93
2009;2;12;CRUCERO_______220;220;98,99
2009;2;13;CRUCERO_______220;220;96,09
2009;2;14;CRUCERO_______220;220;93,62
2009;2;16;CRUCERO_______220;220;100,94
2009;2;17;CRUCERO_______220;220;84,97
2009;2;18;CRUCERO_______220;220;80,96
2009;2;19;CRUCERO_______220;220;77,16
2009;2;20;CRUCERO_______220;220;74,91
2009;2;21;CRUCERO_______220;220;70,79
2009;2;22;CRUCERO_______220;220;77,61
2009;2;24;CRUCERO_______220;220;73,73
2009;2;25;CRUCERO_______220;220;60,23
2009;2;26;CRUCERO_______220;220;62,74
2009;2;27;CRUCERO_______220;220;82,85
2009;2;28;CRUCERO_______220;220;80,88
2009;2;1;P.AZUCAR______220;220;125,51
2009;2;2;P.AZUCAR______220;220;146,35
2009;2;3;P.AZUCAR______220;220;152,99
2009;2;4;P.AZUCAR______220;220;157,88
2009;2;5;P.AZUCAR______220;220;157,93
2009;2;6;P.AZUCAR______220;220;155,11
2009;2;7;P.AZUCAR______220;220;153,44
2009;2;8;P.AZUCAR______220;220;149,61
2009;2;9;P.AZUCAR______220;220;152,59
2009;2;10;P.AZUCAR______220;220;155,72
