anio;mes;dia;barra;tension;valor
2013;10;1;ATACAMA_______220;220;86,39
2013;10;2;ATACAMA_______220;220;121,65
2013;10;3;ATACAMA_______220;220;86,71
2013;10;4;ATACAMA_______220;220;49,47
2013;10;5;ATACAMA_______220;220;49,66
2013;10;6;ATACAMA_______220;220;69,32
2013;10;7;ATACAMA_______220;220;101,22
2013;10;8;ATACAMA_______220;220;49,97
2013;10;9;ATACAMA_______220;220;49,42
2013;10;10;ATACAMA_______220;220;88,57
2013;10;11;ATACAMA_______220;220;139,66
2013;10;12;ATACAMA_______220;220;120,73
2013;10;13;ATACAMA_______220;220;78,84
2013;10;14;ATACAMA_______220;220;114,51
2013;10;15;ATACAMA_______220;220;96,23
2013;10;16;ATACAMA_______220;220;55,30
2013;10;17;ATACAMA_______220;220;64,43
2013;10;18;ATACAMA_______220;220;89,37
2013;10;19;ATACAMA_______220;220;57,12
2013;10;20;ATACAMA_______220;220;55,86
2013;10;21;ATACAMA_______220;220;115,49
2013;10;22;ATACAMA_______220;220;141,58
2013;10;23;ATACAMA_______220;220;147,12
2013;10;24;ATACAMA_______220;220;86,05
2013;10;25;ATACAMA_______220;220;49,25
2013;10;26;ATACAMA_______220;220;72,52
2013;10;27;ATACAMA_______220;220;131,97
2013;10;28;ATACAMA_______220;220;117,00
2013;10;29;ATACAMA_______220;220;133,35
2013;10;30;ATACAMA_______220;220;60,79
2013;10;31;ATACAMA_______220;220;140,01
2013;10;1;CARDONES______220;220;89,62
2013;10;2;CARDONES______220;220;84,49
2013;10;3;CARDONES______220;220;84,34
2013;10;4;CARDONES______220;220;108,60
2013;10;5;CARDONES______220;220;151,19
2013;10;6;CARDONES______220;220;223,81
2013;10;7;CARDONES______220;220;211,59
2013;10;8;CARDONES______220;220;269,67
2013;10;9;CARDONES______220;220;212,82
2013;10;10;CARDONES______220;220;265,63
2013;10;11;CARDONES______220;220;241,03
2013;10;12;CARDONES______220;220;52,98
2013;10;13;CARDONES______220;220;49,78
2013;10;14;CARDONES______220;220;97,46
2013;10;15;CARDONES______220;220;69,05
2013;10;16;CARDONES______220;220;224,34
2013;10;17;CARDONES______220;220;271,42
2013;10;18;CARDONES______220;220;272,26
2013;10;19;CARDONES______220;220;277,99
2013;10;20;CARDONES______220;220;268,81
2013;10;21;CARDONES______220;220;267,74
2013;10;22;CARDONES______220;220;185,52
2013;10;23;CARDONES______220;220;92,94
2013;10;24;CARDONES______220;220;119,20
2013;10;25;CARDONES______220;220;219,63
2013;10;26;CARDONES______220;220;269,25
2013;10;27;CARDONES______220;220;241,84
2013;10;28;CARDONES______220;220;266,10
2013;10;29;CARDONES______220;220;165,97
2013;10;30;CARDONES______220;220;67,85
2013;10;31;CARDONES______220;220;255,39
2013;10;1;CHARRUA_______220;220;82,07
2013;10;2;CHARRUA_______220;220;77,52
2013;10;3;CHARRUA_______220;220;77,82
2013;10;4;CHARRUA_______220;220;81,23
2013;10;5;CHARRUA_______220;220;80,68
2013;10;6;CHARRUA_______220;220;72,45
2013;10;7;CHARRUA_______220;220;78,60
2013;10;8;CHARRUA_______220;220;94,03
2013;10;9;CHARRUA_______220;220;99,96
2013;10;10;CHARRUA_______220;220;86,62
2013;10;11;CHARRUA_______220;220;127,28
2013;10;12;CHARRUA_______220;220;49,92
2013;10;13;CHARRUA_______220;220;48,07
2013;10;14;CHARRUA_______220;220;89,17
2013;10;15;CHARRUA_______220;220;64,04
2013;10;16;CHARRUA_______220;220;67,58
2013;10;17;CHARRUA_______220;220;120,28
2013;10;18;CHARRUA_______220;220;56,18
2013;10;19;CHARRUA_______220;220;48,37
2013;10;20;CHARRUA_______220;220;46,91
2013;10;21;CHARRUA_______220;220;48,52
2013;10;22;CHARRUA_______220;220;48,37
2013;10;23;CHARRUA_______220;220;48,51
2013;10;24;CHARRUA_______220;220;63,57
2013;10;25;CHARRUA_______220;220;49,97
2013;10;26;CHARRUA_______220;220;47,43
2013;10;27;CHARRUA_______220;220;44,28
2013;10;28;CHARRUA_______220;220;47,94
