anio;mes;dia;barra;tension;valor
2018;1;1;ATACAMA_______220;220;51,27
2018;1;2;ATACAMA_______220;220;50,99
2018;1;3;ATACAMA_______220;220;50,77
2018;1;4;ATACAMA_______220;220;49,00
2018;1;5;ATACAMA_______220;220;50,47
2018;1;6;ATACAMA_______220;220;53,58
2018;1;7;ATACAMA_______220;220;55,06
2018;1;8;ATACAMA_______220;220;53,43
2018;1;9;ATACAMA_______220;220;50,79
2018;1;10;ATACAMA_______220;220;54,60
2018;1;11;ATACAMA_______220;220;57,15
2018;1;12;ATACAMA_______220;220;84,50
2018;1;13;ATACAMA_______220;220;65,81
2018;1;14;ATACAMA_______220;220;49,62
2018;1;15;ATACAMA_______220;220;61,18
2018;1;16;ATACAMA_______220;220;87,33
2018;1;17;ATACAMA_______220;220;54,39
2018;1;18;ATACAMA_______220;220;53,80
2018;1;19;ATACAMA_______220;220;56,37
2018;1;20;ATACAMA_______220;220;43,70
2018;1;21;ATACAMA_______220;220;48,97
2018;1;22;ATACAMA_______220;220;49,50
2018;1;23;ATACAMA_______220;220;48,59
2018;1;24;ATACAMA_______220;220;52,20
2018;1;25;ATACAMA_______220;220;60,36
2018;1;26;ATACAMA_______220;220;55,45
2018;1;27;ATACAMA_______220;220;61,62
2018;1;28;ATACAMA_______220;220;58,16
2018;1;29;ATACAMA_______220;220;71,97
2018;1;30;ATACAMA_______220;220;74,31
2018;1;31;ATACAMA_______220;220;56,57
2018;1;1;CARDONES______220;220;29,39
2018;1;2;CARDONES______220;220;27,91
2018;1;3;CARDONES______220;220;28,68
2018;1;4;CARDONES______220;220;30,23
2018;1;5;CARDONES______220;220;30,95
2018;1;6;CARDONES______220;220;32,52
2018;1;7;CARDONES______220;220;33,47
2018;1;8;CARDONES______220;220;28,49
2018;1;9;CARDONES______220;220;28,75
2018;1;10;CARDONES______220;220;28,47
2018;1;11;CARDONES______220;220;36,94
2018;1;12;CARDONES______220;220;72,33
2018;1;13;CARDONES______220;220;68,04
2018;1;14;CARDONES______220;220;32,20
2018;1;15;CARDONES______220;220;42,55
2018;1;16;CARDONES______220;220;40,96
2018;1;17;CARDONES______220;220;32,54
2018;1;18;CARDONES______220;220;35,88
2018;1;19;CARDONES______220;220;39,41
2018;1;20;CARDONES______220;220;41,93
2018;1;21;CARDONES______220;220;46,76
2018;1;22;CARDONES______220;220;31,52
2018;1;23;CARDONES______220;220;45,84
2018;1;24;CARDONES______220;220;37,22
2018;1;25;CARDONES______220;220;39,10
2018;1;26;CARDONES______220;220;37,10
2018;1;27;CARDONES______220;220;34,26
2018;1;28;CARDONES______220;220;55,80
2018;1;29;CARDONES______220;220;69,01
2018;1;30;CARDONES______220;220;72,17
2018;1;31;CARDONES______220;220;53,86
2018;1;1;CHARRUA_______220;220;43,14
2018;1;2;CHARRUA_______220;220;47,72
2018;1;3;CHARRUA_______220;220;48,71
2018;1;4;CHARRUA_______220;220;48,08
2018;1;5;CHARRUA_______220;220;48,12
2018;1;6;CHARRUA_______220;220;46,60
2018;1;7;CHARRUA_______220;220;41,98
2018;1;8;CHARRUA_______220;220;46,77
2018;1;9;CHARRUA_______220;220;50,05
2018;1;10;CHARRUA_______220;220;48,29
2018;1;11;CHARRUA_______220;220;48,20
2018;1;12;CHARRUA_______220;220;50,37
2018;1;13;CHARRUA_______220;220;48,49
2018;1;14;CHARRUA_______220;220;47,62
2018;1;15;CHARRUA_______220;220;49,89
2018;1;16;CHARRUA_______220;220;49,80
2018;1;17;CHARRUA_______220;220;50,19
2018;1;18;CHARRUA_______220;220;51,13
2018;1;19;CHARRUA_______220;220;50,08
2018;1;20;CHARRUA_______220;220;49,77
2018;1;21;CHARRUA_______220;220;46,49
2018;1;22;CHARRUA_______220;220;49,99
2018;1;23;CHARRUA_______220;220;50,09
2018;1;24;CHARRUA_______220;220;55,47
2018;1;25;CHARRUA_______220;220;52,05
2018;1;26;CHARRUA_______220;220;50,22
2018;1;27;CHARRUA_______220;220;48,50
2018;1;28;CHARRUA_______220;220;43,31
2018;1;29;CHARRUA_______220;220;52,67
2018;1;30;CHARRUA_______220;220;48,53
2018;1;31;CHARRUA_______220;220;53,38
2018;1;1;CRUCERO_______220;220;48,75
2018;1;2;CRUCERO_______220;220;48,25
2018;1;3;CRUCERO_______220;220;48,73
2018;1;4;CRUCERO_______220;220;46,17
2018;1;5;CRUCERO_______220;220;47,87
2018;1;6;CRUCERO_______220;220;50,85
2018;1;7;CRUCERO_______220;220;52,12
2018;1;8;CRUCERO_______220;220;50,37
2018;1;9;CRUCERO_______220;220;48,66
2018;1;10;CRUCERO_______220;220;53,07
2018;1;11;CRUCERO_______220;220;54,61
2018;1;12;CRUCERO_______220;220;82,61
2018;1;13;CRUCERO_______220;220;64,19
2018;1;14;CRUCERO_______220;220;46,78
2018;1;15;CRUCERO_______220;220;56,43
2018;1;16;CRUCERO_______220;220;81,19
2018;1;17;CRUCERO_______220;220;50,84
2018;1;18;CRUCERO_______220;220;49,08
2018;1;19;CRUCERO_______220;220;51,91
2018;1;20;CRUCERO_______220;220;40,28
2018;1;21;CRUCERO_______220;220;45,26
2018;1;22;CRUCERO_______220;220;46,20
2018;1;23;CRUCERO_______220;220;45,73
2018;1;24;CRUCERO_______220;220;48,50
2018;1;25;CRUCERO_______220;220;54,54
2018;1;26;CRUCERO_______220;220;52,20
2018;1;27;CRUCERO_______220;220;57,41
2018;1;28;CRUCERO_______220;220;56,11
2018;1;29;CRUCERO_______220;220;68,84
2018;1;30;CRUCERO_______220;220;77,17
2018;1;31;CRUCERO_______220;220;55,99
2018;1;1;P.AZUCAR______220;220;39,28
2018;1;2;P.AZUCAR______220;220;39,20
2018;1;3;P.AZUCAR______220;220;38,36
2018;1;4;P.AZUCAR______220;220;28,80
2018;1;5;P.AZUCAR______220;220;28,97
2018;1;6;P.AZUCAR______220;220;31,55
2018;1;7;P.AZUCAR______220;220;37,89
2018;1;8;P.AZUCAR______220;220;27,72
2018;1;9;P.AZUCAR______220;220;50,82
2018;1;10;P.AZUCAR______220;220;50,26
2018;1;11;P.AZUCAR______220;220;54,35
2018;1;12;P.AZUCAR______220;220;83,19
2018;1;13;P.AZUCAR______220;220;79,92
2018;1;14;P.AZUCAR______220;220;48,87
2018;1;15;P.AZUCAR______220;220;61,21
2018;1;16;P.AZUCAR______220;220;41,22
2018;1;17;P.AZUCAR______220;220;34,47
2018;1;18;P.AZUCAR______220;220;49,58
2018;1;19;P.AZUCAR______220;220;56,71
2018;1;20;P.AZUCAR______220;220;54,23
2018;1;21;P.AZUCAR______220;220;50,33
2018;1;22;P.AZUCAR______220;220;52,35
2018;1;23;P.AZUCAR______220;220;50,17
2018;1;24;P.AZUCAR______220;220;56,95
2018;1;25;P.AZUCAR______220;220;45,85
2018;1;26;P.AZUCAR______220;220;39,85
2018;1;27;P.AZUCAR______220;220;34,33
2018;1;28;P.AZUCAR______220;220;56,86
2018;1;29;P.AZUCAR______220;220;71,44
2018;1;30;P.AZUCAR______220;220;72,98
2018;1;31;P.AZUCAR______220;220;62,57
2018;1;1;P.MONTT_______220;220;40,90
2018;1;2;P.MONTT_______220;220;46,83
2018;1;3;P.MONTT_______220;220;47,37
2018;1;4;P.MONTT_______220;220;46,00
2018;1;5;P.MONTT_______220;220;46,81
2018;1;6;P.MONTT_______220;220;43,16
2018;1;7;P.MONTT_______220;220;39,52
2018;1;8;P.MONTT_______220;220;45,09
2018;1;9;P.MONTT_______220;220;49,93
2018;1;10;P.MONTT_______220;220;48,11
2018;1;11;P.MONTT_______220;220;48,20
2018;1;12;P.MONTT_______220;220;49,11
2018;1;13;P.MONTT_______220;220;47,74
2018;1;14;P.MONTT_______220;220;45,00
2018;1;15;P.MONTT_______220;220;51,03
2018;1;16;P.MONTT_______220;220;50,35
2018;1;17;P.MONTT_______220;220;52,56
2018;1;18;P.MONTT_______220;220;54,16
2018;1;19;P.MONTT_______220;220;52,79
2018;1;20;P.MONTT_______220;220;50,79
2018;1;21;P.MONTT_______220;220;46,65
2018;1;22;P.MONTT_______220;220;52,50
2018;1;23;P.MONTT_______220;220;51,80
2018;1;24;P.MONTT_______220;220;57,75
2018;1;25;P.MONTT_______220;220;54,18
2018;1;26;P.MONTT_______220;220;51,98
2018;1;27;P.MONTT_______220;220;48,26
2018;1;28;P.MONTT_______220;220;42,08
2018;1;29;P.MONTT_______220;220;53,58
2018;1;30;P.MONTT_______220;220;49,54
2018;1;31;P.MONTT_______220;220;56,85
2018;1;1;QUILLOTA______220;220;44,76
2018;1;2;QUILLOTA______220;220;50,32
2018;1;3;QUILLOTA______220;220;51,42
2018;1;4;QUILLOTA______220;220;50,80
2018;1;5;QUILLOTA______220;220;50,35
2018;1;6;QUILLOTA______220;220;48,53
2018;1;7;QUILLOTA______220;220;43,25
2018;1;8;QUILLOTA______220;220;48,61
2018;1;9;QUILLOTA______220;220;51,96
2018;1;10;QUILLOTA______220;220;49,95
2018;1;11;QUILLOTA______220;220;49,99
2018;1;12;QUILLOTA______220;220;52,20
2018;1;13;QUILLOTA______220;220;50,22
2018;1;14;QUILLOTA______220;220;49,01
2018;1;15;QUILLOTA______220;220;51,56
2018;1;16;QUILLOTA______220;220;51,68
2018;1;17;QUILLOTA______220;220;51,89
2018;1;18;QUILLOTA______220;220;52,72
2018;1;19;QUILLOTA______220;220;51,98
2018;1;20;QUILLOTA______220;220;51,79
2018;1;21;QUILLOTA______220;220;48,27
2018;1;22;QUILLOTA______220;220;51,85
2018;1;23;QUILLOTA______220;220;51,96
2018;1;24;QUILLOTA______220;220;57,37
2018;1;25;QUILLOTA______220;220;53,14
2018;1;26;QUILLOTA______220;220;51,94
2018;1;27;QUILLOTA______220;220;50,07
2018;1;28;QUILLOTA______220;220;44,70
2018;1;29;QUILLOTA______220;220;54,40
2018;1;30;QUILLOTA______220;220;49,49
2018;1;31;QUILLOTA______220;220;54,40
2018;1;1;TARAPACA______220;220;50,56
2018;1;2;TARAPACA______220;220;50,10
2018;1;3;TARAPACA______220;220;50,52
2018;1;4;TARAPACA______220;220;47,98
2018;1;5;TARAPACA______220;220;49,68
2018;1;6;TARAPACA______220;220;52,70
2018;1;7;TARAPACA______220;220;53,86
2018;1;8;TARAPACA______220;220;52,17
2018;1;9;TARAPACA______220;220;50,38
2018;1;10;TARAPACA______220;220;54,94
2018;1;11;TARAPACA______220;220;56,56
2018;1;12;TARAPACA______220;220;85,59
2018;1;13;TARAPACA______220;220;66,45
2018;1;14;TARAPACA______220;220;48,55
2018;1;15;TARAPACA______220;220;58,47
2018;1;16;TARAPACA______220;220;84,20
2018;1;17;TARAPACA______220;220;52,74
2018;1;18;TARAPACA______220;220;50,91
2018;1;19;TARAPACA______220;220;53,79
2018;1;20;TARAPACA______220;220;41,71
2018;1;21;TARAPACA______220;220;46,81
2018;1;22;TARAPACA______220;220;47,98
2018;1;23;TARAPACA______220;220;47,45
2018;1;24;TARAPACA______220;220;50,38
2018;1;25;TARAPACA______220;220;56,84
2018;1;26;TARAPACA______220;220;54,34
2018;1;27;TARAPACA______220;220;59,84
2018;1;28;TARAPACA______220;220;58,30
2018;1;29;TARAPACA______220;220;71,33
2018;1;30;TARAPACA______220;220;79,63
2018;1;31;TARAPACA______220;220;57,76
