anio;mes;dia;barra;tension;valor
2014;10;1;ATACAMA_______220;220;51,88
2014;10;2;ATACAMA_______220;220;49,02
2014;10;3;ATACAMA_______220;220;46,56
2014;10;4;ATACAMA_______220;220;45,21
2014;10;5;ATACAMA_______220;220;50,45
2014;10;6;ATACAMA_______220;220;64,50
2014;10;7;ATACAMA_______220;220;78,79
2014;10;8;ATACAMA_______220;220;66,66
2014;10;9;ATACAMA_______220;220;54,23
2014;10;10;ATACAMA_______220;220;56,12
2014;10;11;ATACAMA_______220;220;57,52
2014;10;12;ATACAMA_______220;220;108,61
2014;10;13;ATACAMA_______220;220;62,42
2014;10;14;ATACAMA_______220;220;49,25
2014;10;15;ATACAMA_______220;220;53,50
2014;10;16;ATACAMA_______220;220;46,44
2014;10;17;ATACAMA_______220;220;49,79
2014;10;18;ATACAMA_______220;220;58,36
2014;10;19;ATACAMA_______220;220;95,27
2014;10;20;ATACAMA_______220;220;59,40
2014;10;21;ATACAMA_______220;220;78,29
2014;10;22;ATACAMA_______220;220;52,80
2014;10;23;ATACAMA_______220;220;55,10
2014;10;24;ATACAMA_______220;220;64,08
2014;10;25;ATACAMA_______220;220;78,54
2014;10;26;ATACAMA_______220;220;57,05
2014;10;27;ATACAMA_______220;220;76,68
2014;10;28;ATACAMA_______220;220;70,55
2014;10;29;ATACAMA_______220;220;66,82
2014;10;30;ATACAMA_______220;220;55,12
2014;10;31;ATACAMA_______220;220;48,48
2014;10;1;CARDONES______220;220;155,45
2014;10;2;CARDONES______220;220;99,33
2014;10;3;CARDONES______220;220;74,69
2014;10;4;CARDONES______220;220;59,81
2014;10;5;CARDONES______220;220;45,91
2014;10;6;CARDONES______220;220;133,85
2014;10;7;CARDONES______220;220;75,35
2014;10;8;CARDONES______220;220;65,42
2014;10;9;CARDONES______220;220;59,30
2014;10;10;CARDONES______220;220;98,96
2014;10;11;CARDONES______220;220;82,25
2014;10;12;CARDONES______220;220;80,49
2014;10;13;CARDONES______220;220;115,19
2014;10;14;CARDONES______220;220;85,52
2014;10;15;CARDONES______220;220;91,18
2014;10;16;CARDONES______220;220;61,84
2014;10;17;CARDONES______220;220;107,45
2014;10;18;CARDONES______220;220;76,35
2014;10;19;CARDONES______220;220;77,07
2014;10;20;CARDONES______220;220;113,98
2014;10;21;CARDONES______220;220;117,69
2014;10;22;CARDONES______220;220;182,17
2014;10;23;CARDONES______220;220;176,96
2014;10;24;CARDONES______220;220;129,11
2014;10;25;CARDONES______220;220;97,76
2014;10;26;CARDONES______220;220;151,87
2014;10;27;CARDONES______220;220;70,69
2014;10;28;CARDONES______220;220;79,00
2014;10;29;CARDONES______220;220;50,99
2014;10;30;CARDONES______220;220;61,81
2014;10;31;CARDONES______220;220;39,67
2014;10;1;CHARRUA_______220;220;88,31
2014;10;2;CHARRUA_______220;220;89,03
2014;10;3;CHARRUA_______220;220;72,97
2014;10;4;CHARRUA_______220;220;57,10
2014;10;5;CHARRUA_______220;220;51,66
2014;10;6;CHARRUA_______220;220;65,71
2014;10;7;CHARRUA_______220;220;64,69
2014;10;8;CHARRUA_______220;220;59,55
2014;10;9;CHARRUA_______220;220;60,10
2014;10;10;CHARRUA_______220;220;81,35
2014;10;11;CHARRUA_______220;220;66,14
2014;10;12;CHARRUA_______220;220;62,72
2014;10;13;CHARRUA_______220;220;94,80
2014;10;14;CHARRUA_______220;220;69,86
2014;10;15;CHARRUA_______220;220;74,45
2014;10;16;CHARRUA_______220;220;58,51
2014;10;17;CHARRUA_______220;220;86,42
2014;10;18;CHARRUA_______220;220;64,81
2014;10;19;CHARRUA_______220;220;64,48
2014;10;20;CHARRUA_______220;220;92,04
2014;10;21;CHARRUA_______220;220;84,61
2014;10;22;CHARRUA_______220;220;66,52
2014;10;23;CHARRUA_______220;220;92,62
2014;10;24;CHARRUA_______220;220;94,87
2014;10;25;CHARRUA_______220;220;61,76
2014;10;26;CHARRUA_______220;220;52,89
2014;10;27;CHARRUA_______220;220;62,53
2014;10;28;CHARRUA_______220;220;65,47
2014;10;29;CHARRUA_______220;220;58,44
2014;10;30;CHARRUA_______220;220;42,31
2014;10;31;CHARRUA_______220;220;38,31
2014;10;1;CRUCERO_______220;220;51,49
2014;10;2;CRUCERO_______220;220;48,57
2014;10;3;CRUCERO_______220;220;46,12
2014;10;4;CRUCERO_______220;220;45,28
2014;10;5;CRUCERO_______220;220;49,53
2014;10;6;CRUCERO_______220;220;63,38
2014;10;7;CRUCERO_______220;220;77,56
2014;10;8;CRUCERO_______220;220;66,16
2014;10;9;CRUCERO_______220;220;53,82
2014;10;10;CRUCERO_______220;220;55,65
2014;10;11;CRUCERO_______220;220;56,92
2014;10;12;CRUCERO_______220;220;107,47
2014;10;13;CRUCERO_______220;220;61,75
2014;10;14;CRUCERO_______220;220;49,40
2014;10;15;CRUCERO_______220;220;52,87
2014;10;16;CRUCERO_______220;220;45,97
2014;10;17;CRUCERO_______220;220;50,36
2014;10;18;CRUCERO_______220;220;58,35
2014;10;19;CRUCERO_______220;220;95,59
2014;10;20;CRUCERO_______220;220;59,50
2014;10;21;CRUCERO_______220;220;78,42
2014;10;22;CRUCERO_______220;220;52,41
2014;10;23;CRUCERO_______220;220;55,48
2014;10;24;CRUCERO_______220;220;63,67
2014;10;25;CRUCERO_______220;220;78,08
2014;10;26;CRUCERO_______220;220;56,72
2014;10;27;CRUCERO_______220;220;76,86
2014;10;28;CRUCERO_______220;220;71,07
2014;10;29;CRUCERO_______220;220;67,22
2014;10;30;CRUCERO_______220;220;55,06
2014;10;31;CRUCERO_______220;220;48,24
2014;10;1;P.AZUCAR______220;220;146,54
2014;10;2;P.AZUCAR______220;220;94,33
2014;10;3;P.AZUCAR______220;220;75,25
2014;10;4;P.AZUCAR______220;220;59,46
2014;10;5;P.AZUCAR______220;220;45,82
2014;10;6;P.AZUCAR______220;220;126,43
2014;10;7;P.AZUCAR______220;220;72,10
2014;10;8;P.AZUCAR______220;220;62,41
2014;10;9;P.AZUCAR______220;220;56,29
2014;10;10;P.AZUCAR______220;220;94,61
2014;10;11;P.AZUCAR______220;220;77,74
2014;10;12;P.AZUCAR______220;220;74,58
2014;10;13;P.AZUCAR______220;220;110,09
2014;10;14;P.AZUCAR______220;220;81,45
2014;10;15;P.AZUCAR______220;220;86,83
2014;10;16;P.AZUCAR______220;220;58,64
2014;10;17;P.AZUCAR______220;220;102,95
2014;10;18;P.AZUCAR______220;220;72,14
2014;10;19;P.AZUCAR______220;220;71,59
2014;10;20;P.AZUCAR______220;220;108,63
2014;10;21;P.AZUCAR______220;220;112,65
2014;10;22;P.AZUCAR______220;220;173,37
2014;10;23;P.AZUCAR______220;220;168,22
2014;10;24;P.AZUCAR______220;220;122,96
2014;10;25;P.AZUCAR______220;220;91,50
2014;10;26;P.AZUCAR______220;220;142,71
2014;10;27;P.AZUCAR______220;220;70,45
2014;10;28;P.AZUCAR______220;220;78,70
2014;10;29;P.AZUCAR______220;220;50,73
2014;10;30;P.AZUCAR______220;220;61,27
2014;10;31;P.AZUCAR______220;220;39,56
2014;10;1;P.MONTT_______220;220;89,05
2014;10;2;P.MONTT_______220;220;89,41
2014;10;3;P.MONTT_______220;220;74,66
2014;10;4;P.MONTT_______220;220;60,76
2014;10;5;P.MONTT_______220;220;53,34
2014;10;6;P.MONTT_______220;220;66,94
2014;10;7;P.MONTT_______220;220;65,51
2014;10;8;P.MONTT_______220;220;60,42
2014;10;9;P.MONTT_______220;220;60,71
2014;10;10;P.MONTT_______220;220;84,58
2014;10;11;P.MONTT_______220;220;72,21
2014;10;12;P.MONTT_______220;220;70,35
2014;10;13;P.MONTT_______220;220;99,22
2014;10;14;P.MONTT_______220;220;72,62
2014;10;15;P.MONTT_______220;220;77,31
2014;10;16;P.MONTT_______220;220;60,54
2014;10;17;P.MONTT_______220;220;98,72
2014;10;18;P.MONTT_______220;220;72,65
2014;10;19;P.MONTT_______220;220;72,24
2014;10;20;P.MONTT_______220;220;103,25
2014;10;21;P.MONTT_______220;220;95,36
2014;10;22;P.MONTT_______220;220;74,98
2014;10;23;P.MONTT_______220;220;100,67
2014;10;24;P.MONTT_______220;220;99,06
2014;10;25;P.MONTT_______220;220;64,59
2014;10;26;P.MONTT_______220;220;55,46
2014;10;27;P.MONTT_______220;220;65,41
2014;10;28;P.MONTT_______220;220;68,40
2014;10;29;P.MONTT_______220;220;61,05
2014;10;30;P.MONTT_______220;220;48,59
2014;10;31;P.MONTT_______220;220;41,89
2014;10;1;QUILLOTA______220;220;93,10
2014;10;2;QUILLOTA______220;220;93,66
2014;10;3;QUILLOTA______220;220;78,30
2014;10;4;QUILLOTA______220;220;61,66
2014;10;5;QUILLOTA______220;220;54,71
2014;10;6;QUILLOTA______220;220;70,06
2014;10;7;QUILLOTA______220;220;68,89
2014;10;8;QUILLOTA______220;220;63,41
2014;10;9;QUILLOTA______220;220;64,05
2014;10;10;QUILLOTA______220;220;86,64
2014;10;11;QUILLOTA______220;220;71,10
2014;10;12;QUILLOTA______220;220;67,04
2014;10;13;QUILLOTA______220;220;101,04
2014;10;14;QUILLOTA______220;220;74,33
2014;10;15;QUILLOTA______220;220;79,23
2014;10;16;QUILLOTA______220;220;62,10
2014;10;17;QUILLOTA______220;220;97,76
2014;10;18;QUILLOTA______220;220;70,65
2014;10;19;QUILLOTA______220;220;73,17
2014;10;20;QUILLOTA______220;220;102,15
2014;10;21;QUILLOTA______220;220;106,17
2014;10;22;QUILLOTA______220;220;106,39
2014;10;23;QUILLOTA______220;220;106,28
2014;10;24;QUILLOTA______220;220;102,86
2014;10;25;QUILLOTA______220;220;67,02
2014;10;26;QUILLOTA______220;220;56,06
2014;10;27;QUILLOTA______220;220;67,25
2014;10;28;QUILLOTA______220;220;70,50
2014;10;29;QUILLOTA______220;220;62,95
2014;10;30;QUILLOTA______220;220;45,50
2014;10;31;QUILLOTA______220;220;40,52
2014;10;1;TARAPACA______220;220;53,85
2014;10;2;TARAPACA______220;220;49,51
2014;10;3;TARAPACA______220;220;47,13
2014;10;4;TARAPACA______220;220;46,35
2014;10;5;TARAPACA______220;220;50,66
2014;10;6;TARAPACA______220;220;64,61
2014;10;7;TARAPACA______220;220;78,94
2014;10;8;TARAPACA______220;220;67,44
2014;10;9;TARAPACA______220;220;54,90
2014;10;10;TARAPACA______220;220;56,70
2014;10;11;TARAPACA______220;220;57,92
2014;10;12;TARAPACA______220;220;109,46
2014;10;13;TARAPACA______220;220;63,00
2014;10;14;TARAPACA______220;220;50,46
2014;10;15;TARAPACA______220;220;53,97
2014;10;16;TARAPACA______220;220;46,65
2014;10;17;TARAPACA______220;220;51,87
2014;10;18;TARAPACA______220;220;59,55
2014;10;19;TARAPACA______220;220;97,12
2014;10;20;TARAPACA______220;220;60,59
2014;10;21;TARAPACA______220;220;80,58
2014;10;22;TARAPACA______220;220;53,90
2014;10;23;TARAPACA______220;220;57,80
2014;10;24;TARAPACA______220;220;64,88
2014;10;25;TARAPACA______220;220;79,37
2014;10;26;TARAPACA______220;220;57,62
2014;10;27;TARAPACA______220;220;78,32
2014;10;28;TARAPACA______220;220;72,05
2014;10;29;TARAPACA______220;220;68,52
2014;10;30;TARAPACA______220;220;56,20
2014;10;31;TARAPACA______220;220;49,17
