anio;mes;dia;barra;tension;valor
2021;3;1;ATACAMA_______220;220;91,05
2021;3;2;ATACAMA_______220;220;68,81
2021;3;3;ATACAMA_______220;220;74,00
2021;3;4;ATACAMA_______220;220;92,86
2021;3;5;ATACAMA_______220;220;86,63
2021;3;6;ATACAMA_______220;220;87,32
2021;3;7;ATACAMA_______220;220;70,65
2021;3;8;ATACAMA_______220;220;115,34
2021;3;9;ATACAMA_______220;220;86,99
2021;3;10;ATACAMA_______220;220;109,66
2021;3;11;ATACAMA_______220;220;70,63
2021;3;12;ATACAMA_______220;220;91,37
2021;3;13;ATACAMA_______220;220;110,20
2021;3;14;ATACAMA_______220;220;88,67
2021;3;15;ATACAMA_______220;220;131,61
2021;3;16;ATACAMA_______220;220;74,75
2021;3;17;ATACAMA_______220;220;48,19
2021;3;18;ATACAMA_______220;220;74,66
2021;3;19;ATACAMA_______220;220;86,80
2021;3;20;ATACAMA_______220;220;72,56
2021;3;21;ATACAMA_______220;220;50,15
2021;3;22;ATACAMA_______220;220;63,57
2021;3;23;ATACAMA_______220;220;51,51
2021;3;24;ATACAMA_______220;220;60,55
2021;3;25;ATACAMA_______220;220;64,36
2021;3;26;ATACAMA_______220;220;46,01
2021;3;27;ATACAMA_______220;220;63,75
2021;3;28;ATACAMA_______220;220;66,54
2021;3;29;ATACAMA_______220;220;83,53
2021;3;30;ATACAMA_______220;220;62,19
2021;3;31;ATACAMA_______220;220;69,11
2021;3;1;CARDONES______220;220;90,66
2021;3;2;CARDONES______220;220;68,66
2021;3;3;CARDONES______220;220;74,17
2021;3;4;CARDONES______220;220;93,99
2021;3;5;CARDONES______220;220;89,22
2021;3;6;CARDONES______220;220;87,37
2021;3;7;CARDONES______220;220;70,19
2021;3;8;CARDONES______220;220;116,62
2021;3;9;CARDONES______220;220;93,23
2021;3;10;CARDONES______220;220;116,43
2021;3;11;CARDONES______220;220;75,05
2021;3;12;CARDONES______220;220;92,04
2021;3;13;CARDONES______220;220;111,92
2021;3;14;CARDONES______220;220;88,98
2021;3;15;CARDONES______220;220;135,66
2021;3;16;CARDONES______220;220;77,03
2021;3;17;CARDONES______220;220;50,23
2021;3;18;CARDONES______220;220;75,60
2021;3;19;CARDONES______220;220;89,14
2021;3;20;CARDONES______220;220;71,70
2021;3;21;CARDONES______220;220;49,66
2021;3;22;CARDONES______220;220;64,43
2021;3;23;CARDONES______220;220;53,48
2021;3;24;CARDONES______220;220;60,89
2021;3;25;CARDONES______220;220;63,77
2021;3;26;CARDONES______220;220;45,65
2021;3;27;CARDONES______220;220;64,00
2021;3;28;CARDONES______220;220;67,04
2021;3;29;CARDONES______220;220;86,29
2021;3;30;CARDONES______220;220;66,40
2021;3;31;CARDONES______220;220;73,24
2021;3;1;CHARRUA_______220;220;91,69
2021;3;2;CHARRUA_______220;220;70,54
2021;3;3;CHARRUA_______220;220;76,69
2021;3;4;CHARRUA_______220;220;96,17
2021;3;5;CHARRUA_______220;220;97,51
2021;3;6;CHARRUA_______220;220;88,77
2021;3;7;CHARRUA_______220;220;70,90
2021;3;8;CHARRUA_______220;220;119,58
2021;3;9;CHARRUA_______220;220;107,53
2021;3;10;CHARRUA_______220;220;119,83
2021;3;11;CHARRUA_______220;220;77,34
2021;3;12;CHARRUA_______220;220;112,73
2021;3;13;CHARRUA_______220;220;121,61
2021;3;14;CHARRUA_______220;220;91,07
2021;3;15;CHARRUA_______220;220;144,59
2021;3;16;CHARRUA_______220;220;85,20
2021;3;17;CHARRUA_______220;220;53,88
2021;3;18;CHARRUA_______220;220;91,00
2021;3;19;CHARRUA_______220;220;96,39
2021;3;20;CHARRUA_______220;220;73,80
2021;3;21;CHARRUA_______220;220;51,16
2021;3;22;CHARRUA_______220;220;69,81
2021;3;23;CHARRUA_______220;220;57,44
2021;3;24;CHARRUA_______220;220;67,88
2021;3;25;CHARRUA_______220;220;67,89
2021;3;26;CHARRUA_______220;220;49,08
2021;3;27;CHARRUA_______220;220;65,35
2021;3;28;CHARRUA_______220;220;67,48
2021;3;29;CHARRUA_______220;220;119,83
2021;3;30;CHARRUA_______220;220;105,16
2021;3;31;CHARRUA_______220;220;103,69
2021;3;1;CRUCERO_______220;220;88,66
2021;3;2;CRUCERO_______220;220;65,02
2021;3;3;CRUCERO_______220;220;69,64
2021;3;4;CRUCERO_______220;220;88,71
2021;3;5;CRUCERO_______220;220;82,06
2021;3;6;CRUCERO_______220;220;83,12
2021;3;7;CRUCERO_______220;220;68,57
2021;3;8;CRUCERO_______220;220;105,61
2021;3;9;CRUCERO_______220;220;91,60
2021;3;10;CRUCERO_______220;220;114,19
2021;3;11;CRUCERO_______220;220;73,90
2021;3;12;CRUCERO_______220;220;88,46
2021;3;13;CRUCERO_______220;220;107,77
2021;3;14;CRUCERO_______220;220;88,01
2021;3;15;CRUCERO_______220;220;123,77
2021;3;16;CRUCERO_______220;220;72,92
2021;3;17;CRUCERO_______220;220;45,75
2021;3;18;CRUCERO_______220;220;69,76
2021;3;19;CRUCERO_______220;220;82,68
2021;3;20;CRUCERO_______220;220;73,71
2021;3;21;CRUCERO_______220;220;50,18
2021;3;22;CRUCERO_______220;220;61,82
2021;3;23;CRUCERO_______220;220;49,28
2021;3;24;CRUCERO_______220;220;60,45
2021;3;25;CRUCERO_______220;220;61,77
2021;3;26;CRUCERO_______220;220;44,45
2021;3;27;CRUCERO_______220;220;62,10
2021;3;28;CRUCERO_______220;220;66,49
2021;3;29;CRUCERO_______220;220;80,45
2021;3;30;CRUCERO_______220;220;60,53
2021;3;31;CRUCERO_______220;220;66,36
2021;3;1;P.AZUCAR______220;220;92,23
2021;3;2;P.AZUCAR______220;220;70,15
2021;3;3;P.AZUCAR______220;220;75,94
2021;3;4;P.AZUCAR______220;220;96,14
2021;3;5;P.AZUCAR______220;220;91,96
2021;3;6;P.AZUCAR______220;220;88,95
2021;3;7;P.AZUCAR______220;220;71,10
2021;3;8;P.AZUCAR______220;220;119,87
2021;3;9;P.AZUCAR______220;220;95,47
2021;3;10;P.AZUCAR______220;220;119,13
2021;3;11;P.AZUCAR______220;220;76,73
2021;3;12;P.AZUCAR______220;220;93,82
2021;3;13;P.AZUCAR______220;220;114,78
2021;3;14;P.AZUCAR______220;220;90,57
2021;3;15;P.AZUCAR______220;220;140,42
2021;3;16;P.AZUCAR______220;220;79,32
2021;3;17;P.AZUCAR______220;220;52,22
2021;3;18;P.AZUCAR______220;220;77,95
2021;3;19;P.AZUCAR______220;220;92,35
2021;3;20;P.AZUCAR______220;220;72,69
2021;3;21;P.AZUCAR______220;220;50,38
2021;3;22;P.AZUCAR______220;220;66,11
2021;3;23;P.AZUCAR______220;220;55,11
2021;3;24;P.AZUCAR______220;220;62,21
2021;3;25;P.AZUCAR______220;220;64,95
2021;3;26;P.AZUCAR______220;220;46,46
2021;3;27;P.AZUCAR______220;220;64,98
2021;3;28;P.AZUCAR______220;220;67,98
2021;3;29;P.AZUCAR______220;220;88,45
2021;3;30;P.AZUCAR______220;220;68,65
2021;3;31;P.AZUCAR______220;220;75,25
2021;3;1;P.MONTT_______220;220;166,10
2021;3;2;P.MONTT_______220;220;174,75
2021;3;3;P.MONTT_______220;220;176,35
2021;3;4;P.MONTT_______220;220;178,52
2021;3;5;P.MONTT_______220;220;189,59
2021;3;6;P.MONTT_______220;220;172,77
2021;3;7;P.MONTT_______220;220;145,60
2021;3;8;P.MONTT_______220;220;184,38
2021;3;9;P.MONTT_______220;220;166,92
2021;3;10;P.MONTT_______220;220;136,69
2021;3;11;P.MONTT_______220;220;156,16
2021;3;12;P.MONTT_______220;220;175,99
2021;3;13;P.MONTT_______220;220;167,59
2021;3;14;P.MONTT_______220;220;186,68
2021;3;15;P.MONTT_______220;220;177,32
2021;3;16;P.MONTT_______220;220;169,96
2021;3;17;P.MONTT_______220;220;147,45
2021;3;18;P.MONTT_______220;220;176,71
2021;3;19;P.MONTT_______220;220;173,75
2021;3;20;P.MONTT_______220;220;178,47
2021;3;21;P.MONTT_______220;220;178,56
2021;3;22;P.MONTT_______220;220;160,29
2021;3;23;P.MONTT_______220;220;152,85
2021;3;24;P.MONTT_______220;220;138,13
2021;3;25;P.MONTT_______220;220;154,96
2021;3;26;P.MONTT_______220;220;144,86
2021;3;27;P.MONTT_______220;220;178,62
2021;3;28;P.MONTT_______220;220;102,62
2021;3;29;P.MONTT_______220;220;153,12
2021;3;30;P.MONTT_______220;220;179,34
2021;3;31;P.MONTT_______220;220;184,10
2021;3;1;QUILLOTA______220;220;92,13
2021;3;2;QUILLOTA______220;220;70,25
2021;3;3;QUILLOTA______220;220;76,30
2021;3;4;QUILLOTA______220;220;95,33
2021;3;5;QUILLOTA______220;220;95,08
2021;3;6;QUILLOTA______220;220;88,43
2021;3;7;QUILLOTA______220;220;70,98
2021;3;8;QUILLOTA______220;220;119,54
2021;3;9;QUILLOTA______220;220;105,96
2021;3;10;QUILLOTA______220;220;117,70
2021;3;11;QUILLOTA______220;220;76,86
2021;3;12;QUILLOTA______220;220;112,57
2021;3;13;QUILLOTA______220;220;119,00
2021;3;14;QUILLOTA______220;220;89,36
2021;3;15;QUILLOTA______220;220;139,67
2021;3;16;QUILLOTA______220;220;80,85
2021;3;17;QUILLOTA______220;220;52,97
2021;3;18;QUILLOTA______220;220;79,43
2021;3;19;QUILLOTA______220;220;93,22
2021;3;20;QUILLOTA______220;220;72,42
2021;3;21;QUILLOTA______220;220;50,56
2021;3;22;QUILLOTA______220;220;66,01
2021;3;23;QUILLOTA______220;220;55,33
2021;3;24;QUILLOTA______220;220;62,41
2021;3;25;QUILLOTA______220;220;65,54
2021;3;26;QUILLOTA______220;220;46,76
2021;3;27;QUILLOTA______220;220;64,60
2021;3;28;QUILLOTA______220;220;67,44
2021;3;29;QUILLOTA______220;220;88,39
2021;3;30;QUILLOTA______220;220;69,38
2021;3;31;QUILLOTA______220;220;75,28
2021;3;1;TARAPACA______220;220;91,01
2021;3;2;TARAPACA______220;220;66,55
2021;3;3;TARAPACA______220;220;71,44
2021;3;4;TARAPACA______220;220;90,77
2021;3;5;TARAPACA______220;220;84,62
2021;3;6;TARAPACA______220;220;85,73
2021;3;7;TARAPACA______220;220;70,64
2021;3;8;TARAPACA______220;220;108,76
2021;3;9;TARAPACA______220;220;95,12
2021;3;10;TARAPACA______220;220;117,80
2021;3;11;TARAPACA______220;220;77,13
2021;3;12;TARAPACA______220;220;91,51
2021;3;13;TARAPACA______220;220;111,82
2021;3;14;TARAPACA______220;220;91,55
2021;3;15;TARAPACA______220;220;128,63
