anio;mes;dia;barra;tension;valor
2020;4;1;ATACAMA_______220;220;35,42
2020;4;2;ATACAMA_______220;220;37,18
2020;4;3;ATACAMA_______220;220;38,74
2020;4;4;ATACAMA_______220;220;35,51
2020;4;5;ATACAMA_______220;220;33,73
2020;4;6;ATACAMA_______220;220;36,41
2020;4;7;ATACAMA_______220;220;40,02
2020;4;8;ATACAMA_______220;220;46,31
2020;4;9;ATACAMA_______220;220;48,71
2020;4;10;ATACAMA_______220;220;38,60
2020;4;11;ATACAMA_______220;220;32,96
2020;4;12;ATACAMA_______220;220;33,54
2020;4;13;ATACAMA_______220;220;35,18
2020;4;14;ATACAMA_______220;220;50,72
2020;4;15;ATACAMA_______220;220;46,44
2020;4;16;ATACAMA_______220;220;48,80
2020;4;17;ATACAMA_______220;220;48,76
2020;4;18;ATACAMA_______220;220;48,21
2020;4;19;ATACAMA_______220;220;44,50
2020;4;20;ATACAMA_______220;220;55,52
2020;4;21;ATACAMA_______220;220;54,83
2020;4;22;ATACAMA_______220;220;57,71
2020;4;23;ATACAMA_______220;220;56,20
2020;4;24;ATACAMA_______220;220;42,62
2020;4;25;ATACAMA_______220;220;38,24
2020;4;26;ATACAMA_______220;220;39,45
2020;4;27;ATACAMA_______220;220;41,19
2020;4;28;ATACAMA_______220;220;37,63
2020;4;29;ATACAMA_______220;220;38,75
2020;4;30;ATACAMA_______220;220;33,44
2020;4;1;CARDONES______220;220;35,51
2020;4;2;CARDONES______220;220;37,53
2020;4;3;CARDONES______220;220;38,70
2020;4;4;CARDONES______220;220;35,34
2020;4;5;CARDONES______220;220;33,25
2020;4;6;CARDONES______220;220;36,45
2020;4;7;CARDONES______220;220;40,27
2020;4;8;CARDONES______220;220;45,93
2020;4;9;CARDONES______220;220;48,39
2020;4;10;CARDONES______220;220;38,23
2020;4;11;CARDONES______220;220;33,39
2020;4;12;CARDONES______220;220;33,94
2020;4;13;CARDONES______220;220;36,46
2020;4;14;CARDONES______220;220;52,94
2020;4;15;CARDONES______220;220;48,13
2020;4;16;CARDONES______220;220;47,94
2020;4;17;CARDONES______220;220;49,44
2020;4;18;CARDONES______220;220;47,27
2020;4;19;CARDONES______220;220;42,63
2020;4;20;CARDONES______220;220;54,35
2020;4;21;CARDONES______220;220;56,40
2020;4;22;CARDONES______220;220;60,48
2020;4;23;CARDONES______220;220;56,43
2020;4;24;CARDONES______220;220;42,22
2020;4;25;CARDONES______220;220;38,94
2020;4;26;CARDONES______220;220;39,07
2020;4;27;CARDONES______220;220;41,93
2020;4;28;CARDONES______220;220;37,96
2020;4;29;CARDONES______220;220;40,60
2020;4;30;CARDONES______220;220;34,65
2020;4;1;CHARRUA_______220;220;36,13
2020;4;2;CHARRUA_______220;220;37,56
2020;4;3;CHARRUA_______220;220;39,35
2020;4;4;CHARRUA_______220;220;36,10
2020;4;5;CHARRUA_______220;220;33,81
