reservorio	fecha	agua_caida
PULLINQUE	2017-01-13	0,0
RAPEL	2017-01-13	0,0
SAUZAL	2017-01-13	0,0
ACONCAGUA	2017-01-14	0,0
CHAPO	2017-01-14	0,0
COLBÚN	2017-01-14	0,0
INVERNADA	2017-01-14	0,0
LAJA	2017-01-14	1,0
LOS MOLLES	2017-01-14	0,0
MELADO	2017-01-14	0,0
PANGUE	2017-01-14	0,0
PILMAIQUEN	2017-01-14	0,0
PULLINQUE	2017-01-14	0,0
RAPEL	2017-01-14	0,0
SAUZAL	2017-01-14	0,0
ACONCAGUA	2017-01-15	0,0
CHAPO	2017-01-15	0,0
COLBÚN	2017-01-15	0,0
INVERNADA	2017-01-15	0,0
LAJA	2017-01-15	0,0
LOS MOLLES	2017-01-15	0,0
MELADO	2017-01-15	0,0
PANGUE	2017-01-15	0,0
PILMAIQUEN	2017-01-15	0,0
PULLINQUE	2017-01-15	0,0
RAPEL	2017-01-15	0,0
SAUZAL	2017-01-15	0,0
ACONCAGUA	2017-01-16	0,0
CHAPO	2017-01-16	13,0
COLBÚN	2017-01-16	0,0
INVERNADA	2017-01-16	0,0
LAJA	2017-01-16	0,0
LOS MOLLES	2017-01-16	0,0
MELADO	2017-01-16	0,0
PANGUE	2017-01-16	0,0
PILMAIQUEN	2017-01-16	1,0
PULLINQUE	2017-01-16	0,0
RAPEL	2017-01-16	0,0
SAUZAL	2017-01-16	0,0
ACONCAGUA	2017-01-17	0,0
CHAPO	2017-01-17	0,0
COLBÚN	2017-01-17	0,0
INVERNADA	2017-01-17	0,0
LAJA	2017-01-17	0,0
LOS MOLLES	2017-01-17	0,0
MELADO	2017-01-17	0,0
PANGUE	2017-01-17	0,0
PILMAIQUEN	2017-01-17	0,0
PULLINQUE	2017-01-17	0,0
RAPEL	2017-01-17	0,0
SAUZAL	2017-01-17	0,0
ACONCAGUA	2017-01-18	0,0
CHAPO	2017-01-18	1,0
COLBÚN	2017-01-18	0,0
INVERNADA	2017-01-18	0,0
LAJA	2017-01-18	0,0
LOS MOLLES	2017-01-18	0,0
MELADO	2017-01-18	0,0
PANGUE	2017-01-18	0,0
PILMAIQUEN	2017-01-18	0,0
PULLINQUE	2017-01-18	0,0
RAPEL	2017-01-18	0,0
SAUZAL	2017-01-18	0,0
ACONCAGUA	2017-01-19	0,0
CHAPO	2017-01-19	3,0
COLBÚN	2017-01-19	0,0
INVERNADA	2017-01-19	0,0
LAJA	2017-01-19	0,0
LOS MOLLES	2017-01-19	0,0
MELADO	2017-01-19	0,0
PANGUE	2017-01-19	0,0
PILMAIQUEN	2017-01-19	0,0
PULLINQUE	2017-01-19	0,0
RAPEL	2017-01-19	0,0
SAUZAL	2017-01-19	0,0
ACONCAGUA	2017-01-20	0,0
CHAPO	2017-01-20	0,0
COLBÚN	2017-01-20	0,0
INVERNADA	2017-01-20	0,0
LAJA	2017-01-20	0,0
LOS MOLLES	2017-01-20	0,0
MELADO	2017-01-20	0,0
PANGUE	2017-01-20	0,0
PILMAIQUEN	2017-01-20	0,0
PULLINQUE	2017-01-20	0,0
RAPEL	2017-01-20	0,0
SAUZAL	2017-01-20	0,0
ACONCAGUA	2017-01-21	0,0
CHAPO	2017-01-21	0,0
COLBÚN	2017-01-21	0,0
INVERNADA	2017-01-21	0,0
LAJA	2017-01-21	0,0
LOS MOLLES	2017-01-21	0,0
MELADO	2017-01-21	0,0
PANGUE	2017-01-21	0,0
PILMAIQUEN	2017-01-21	0,0
PULLINQUE	2017-01-21	0,0
RAPEL	2017-01-21	0,0
SAUZAL	2017-01-21	0,0
ACONCAGUA	2017-01-22	0,0
CHAPO	2017-01-22	0,0
COLBÚN	2017-01-22	0,0
INVERNADA	2017-01-22	0,0
LAJA	2017-01-22	0,0
LOS MOLLES	2017-01-22	0,0
MELADO	2017-01-22	0,0
PANGUE	2017-01-22	0,0
PILMAIQUEN	2017-01-22	0,0
PULLINQUE	2017-01-22	0,0
RAPEL	2017-01-22	0,0
SAUZAL	2017-01-22	0,0
ACONCAGUA	2017-01-23	0,0
CHAPO	2017-01-23	0,5
COLBÚN	2017-01-23	0,0
INVERNADA	2017-01-23	0,0
LAJA	2017-01-23	0,0
LOS MOLLES	2017-01-23	0,0
MELADO	2017-01-23	0,0
PANGUE	2017-01-23	0,0
PILMAIQUEN	2017-01-23	0,0
PULLINQUE	2017-01-23	0,0
RAPEL	2017-01-23	0,0
SAUZAL	2017-01-23	0,0
ACONCAGUA	2017-01-24	0,0
CHAPO	2017-01-24	0,0
COLBÚN	2017-01-24	0,0
INVERNADA	2017-01-24	0,0
LAJA	2017-01-24	0,0
LOS MOLLES	2017-01-24	0,0
MELADO	2017-01-24	0,0
PANGUE	2017-01-24	0,0
PILMAIQUEN	2017-01-24	0,0
PULLINQUE	2017-01-24	0,0
RAPEL	2017-01-24	0,0
SAUZAL	2017-01-24	0,0
ACONCAGUA	2017-01-25	0,0
CHAPO	2017-01-25	0,0
COLBÚN	2017-01-25	0,0
INVERNADA	2017-01-25	0,0
LAJA	2017-01-25	0,0
LOS MOLLES	2017-01-25	0,0
MELADO	2017-01-25	0,0
PANGUE	2017-01-25	0,0
PILMAIQUEN	2017-01-25	0,0
PULLINQUE	2017-01-25	0,0
RAPEL	2017-01-25	0,0
SAUZAL	2017-01-25	0,0
ACONCAGUA	2017-01-26	0,0
CHAPO	2017-01-26	0,0
COLBÚN	2017-01-26	0,0
INVERNADA	2017-01-26	0,0
LAJA	2017-01-26	0,0
LOS MOLLES	2017-01-26	0,0
MELADO	2017-01-26	0,0
PANGUE	2017-01-26	0,0
PILMAIQUEN	2017-01-26	0,0
PULLINQUE	2017-01-26	0,0
RAPEL	2017-01-26	0,0
SAUZAL	2017-01-26	0,0
ACONCAGUA	2017-01-27	0,0
CHAPO	2017-01-27	0,0
COLBÚN	2017-01-27	0,0
INVERNADA	2017-01-27	0,0
LAJA	2017-01-27	0,0
LOS MOLLES	2017-01-27	0,0
MELADO	2017-01-27	0,0
PANGUE	2017-01-27	0,0
PILMAIQUEN	2017-01-27	0,0
PULLINQUE	2017-01-27	0,0
RAPEL	2017-01-27	0,0
SAUZAL	2017-01-27	0,0
ACONCAGUA	2017-01-28	0,0
CHAPO	2017-01-28	0,0
COLBÚN	2017-01-28	0,0
INVERNADA	2017-01-28	0,0
LAJA	2017-01-28	0,0
LOS MOLLES	2017-01-28	0,0
MELADO	2017-01-28	0,0
PANGUE	2017-01-28	0,0
PILMAIQUEN	2017-01-28	0,0
PULLINQUE	2017-01-28	0,0
RAPEL	2017-01-28	0,0
SAUZAL	2017-01-28	0,0
ACONCAGUA	2017-01-29	0,0
CHAPO	2017-01-29	1,0
COLBÚN	2017-01-29	0,0
INVERNADA	2017-01-29	0,0
LAJA	2017-01-29	0,0
LOS MOLLES	2017-01-29	0,0
MELADO	2017-01-29	0,0
PANGUE	2017-01-29	0,0
PILMAIQUEN	2017-01-29	0,0
PULLINQUE	2017-01-29	0,0
RAPEL	2017-01-29	0,0
SAUZAL	2017-01-29	0,0
ACONCAGUA	2017-01-30	0,0
CHAPO	2017-01-30	0,0
COLBÚN	2017-01-30	0,0
INVERNADA	2017-01-30	0,0
LAJA	2017-01-30	0,0
LOS MOLLES	2017-01-30	0,0
MELADO	2017-01-30	0,0
PANGUE	2017-01-30	0,0
PILMAIQUEN	2017-01-30	0,0
PULLINQUE	2017-01-30	0,0
RAPEL	2017-01-30	0,0
SAUZAL	2017-01-30	0,0
ACONCAGUA	2017-01-31	0,0
CHAPO	2017-01-31	0,0
COLBÚN	2017-01-31	0,0
INVERNADA	2017-01-31	0,0
LAJA	2017-01-31	0,0
LOS MOLLES	2017-01-31	0,0
MELADO	2017-01-31	0,0
PANGUE	2017-01-31	0,0
PILMAIQUEN	2017-01-31	0,0
PULLINQUE	2017-01-31	0,0
RAPEL	2017-01-31	0,0
SAUZAL	2017-01-31	0,0
ACONCAGUA	2017-02-01	0,0
CHAPO	2017-02-01	0,0
COLBÚN	2017-02-01	0,0
INVERNADA	2017-02-01	0,0
LAJA	2017-02-01	0,0
LOS MOLLES	2017-02-01	0,0
MELADO	2017-02-01	0,0
PANGUE	2017-02-01	0,0
PILMAIQUEN	2017-02-01	0,0
PULLINQUE	2017-02-01	0,0
RAPEL	2017-02-01	0,0
SAUZAL	2017-02-01	0,0
ACONCAGUA	2017-02-02	0,0
CHAPO	2017-02-02	11,5
COLBÚN	2017-02-02	0,0
INVERNADA	2017-02-02	0,0
LAJA	2017-02-02	0,0
LOS MOLLES	2017-02-02	0,0
MELADO	2017-02-02	0,0
PANGUE	2017-02-02	0,0
PILMAIQUEN	2017-02-02	0,0
PULLINQUE	2017-02-02	0,0
RAPEL	2017-02-02	0,0
SAUZAL	2017-02-02	0,0
ACONCAGUA	2017-02-03	0,0
CHAPO	2017-02-03	5,5
COLBÚN	2017-02-03	0,0
INVERNADA	2017-02-03	0,0
LAJA	2017-02-03	4,0
LOS MOLLES	2017-02-03	0,0
MELADO	2017-02-03	0,0
PANGUE	2017-02-03	15,0
PILMAIQUEN	2017-02-03	14,0
PULLINQUE	2017-02-03	16,0
RAPEL	2017-02-03	0,0
SAUZAL	2017-02-03	0,0
ACONCAGUA	2017-02-04	0,0
CHAPO	2017-02-04	0,0
COLBÚN	2017-02-04	0,0
INVERNADA	2017-02-04	0,0
LAJA	2017-02-04	10,5
LOS MOLLES	2017-02-04	0,0
MELADO	2017-02-04	3,3
PANGUE	2017-02-04	0,9
PILMAIQUEN	2017-02-04	0,0
PULLINQUE	2017-02-04	0,0
RAPEL	2017-02-04	0,0
SAUZAL	2017-02-04	0,0
ACONCAGUA	2017-02-05	0,0
CHAPO	2017-02-05	0,0
COLBÚN	2017-02-05	0,0
INVERNADA	2017-02-05	0,0
LAJA	2017-02-05	0,0
LOS MOLLES	2017-02-05	0,0
MELADO	2017-02-05	0,0
PANGUE	2017-02-05	0,0
PILMAIQUEN	2017-02-05	0,0
PULLINQUE	2017-02-05	0,0
RAPEL	2017-02-05	0,0
SAUZAL	2017-02-05	0,0
ACONCAGUA	2017-02-06	0,0
CHAPO	2017-02-06	0,0
COLBÚN	2017-02-06	0,0
INVERNADA	2017-02-06	0,0
LAJA	2017-02-06	0,0
LOS MOLLES	2017-02-06	0,0
MELADO	2017-02-06	0,0
PANGUE	2017-02-06	0,0
PILMAIQUEN	2017-02-06	0,0
PULLINQUE	2017-02-06	0,0
RAPEL	2017-02-06	0,0
SAUZAL	2017-02-06	0,0
ACONCAGUA	2017-02-07	0,0
CHAPO	2017-02-07	0,0
COLBÚN	2017-02-07	0,0
INVERNADA	2017-02-07	0,0
LAJA	2017-02-07	0,0
LOS MOLLES	2017-02-07	0,0
MELADO	2017-02-07	0,0
PANGUE	2017-02-07	0,0
PILMAIQUEN	2017-02-07	0,0
PULLINQUE	2017-02-07	0,0
RAPEL	2017-02-07	0,0
SAUZAL	2017-02-07	0,0
ACONCAGUA	2017-02-08	0,0
CHAPO	2017-02-08	0,0
COLBÚN	2017-02-08	0,0
INVERNADA	2017-02-08	0,0
LAJA	2017-02-08	0,0
LOS MOLLES	2017-02-08	0,0
MELADO	2017-02-08	0,0
PANGUE	2017-02-08	0,0
PILMAIQUEN	2017-02-08	0,0
PULLINQUE	2017-02-08	0,0
RAPEL	2017-02-08	0,0
SAUZAL	2017-02-08	0,0
ACONCAGUA	2017-02-09	0,0
CHAPO	2017-02-09	0,0
COLBÚN	2017-02-09	0,0
INVERNADA	2017-02-09	0,0
LAJA	2017-02-09	0,0
LOS MOLLES	2017-02-09	0,0
MELADO	2017-02-09	0,0
PANGUE	2017-02-09	0,0
PILMAIQUEN	2017-02-09	0,0
PULLINQUE	2017-02-09	0,0
RAPEL	2017-02-09	0,0
SAUZAL	2017-02-09	0,0
ACONCAGUA	2017-02-10	0,0
CHAPO	2017-02-10	0,0
COLBÚN	2017-02-10	0,0
INVERNADA	2017-02-10	0,0
LAJA	2017-02-10	0,0
LOS MOLLES	2017-02-10	0,0
MELADO	2017-02-10	0,0
PANGUE	2017-02-10	0,0
PILMAIQUEN	2017-02-10	0,0
PULLINQUE	2017-02-10	0,0
RAPEL	2017-02-10	0,0
SAUZAL	2017-02-10	0,0
ACONCAGUA	2017-02-11	0,0
CHAPO	2017-02-11	0,0
COLBÚN	2017-02-11	0,0
INVERNADA	2017-02-11	0,0
LAJA	2017-02-11	0,0
LOS MOLLES	2017-02-11	0,0
MELADO	2017-02-11	0,0
PANGUE	2017-02-11	0,0
PILMAIQUEN	2017-02-11	0,0
PULLINQUE	2017-02-11	0,0
RAPEL	2017-02-11	0,0
SAUZAL	2017-02-11	0,0
ACONCAGUA	2017-02-12	0,0
CHAPO	2017-02-12	0,0
COLBÚN	2017-02-12	0,0
INVERNADA	2017-02-12	0,0
LAJA	2017-02-12	0,0
LOS MOLLES	2017-02-12	0,0
MELADO	2017-02-12	0,0
PANGUE	2017-02-12	0,0
PILMAIQUEN	2017-02-12	0,0
PULLINQUE	2017-02-12	0,0
RAPEL	2017-02-12	0,0
SAUZAL	2017-02-12	0,0
ACONCAGUA	2017-02-13	0,0
CHAPO	2017-02-13	0,0
COLBÚN	2017-02-13	0,0
INVERNADA	2017-02-13	0,0
LAJA	2017-02-13	0,0
LOS MOLLES	2017-02-13	0,0
MELADO	2017-02-13	0,0
PANGUE	2017-02-13	0,0
PILMAIQUEN	2017-02-13	0,0
PULLINQUE	2017-02-13	0,0
RAPEL	2017-02-13	0,0
SAUZAL	2017-02-13	0,0
ACONCAGUA	2017-02-14	0,0
CHAPO	2017-02-14	0,0
COLBÚN	2017-02-14	0,0
INVERNADA	2017-02-14	0,0
LAJA	2017-02-14	0,0
LOS MOLLES	2017-02-14	0,0
MELADO	2017-02-14	0,0
PANGUE	2017-02-14	0,0
PILMAIQUEN	2017-02-14	0,0
PULLINQUE	2017-02-14	0,0
RAPEL	2017-02-14	0,0
SAUZAL	2017-02-14	0,0
ACONCAGUA	2017-02-15	0,0
CHAPO	2017-02-15	0,0
COLBÚN	2017-02-15	0,0
INVERNADA	2017-02-15	0,0
LAJA	2017-02-15	0,0
LOS MOLLES	2017-02-15	0,0
MELADO	2017-02-15	0,0
PANGUE	2017-02-15	0,0
PILMAIQUEN	2017-02-15	0,0
PULLINQUE	2017-02-15	0,0
RAPEL	2017-02-15	0,0
SAUZAL	2017-02-15	0,0
ACONCAGUA	2017-02-16	0,0
CHAPO	2017-02-16	43,0
COLBÚN	2017-02-16	0,0
INVERNADA	2017-02-16	0,0
LAJA	2017-02-16	18,5
LOS MOLLES	2017-02-16	0,0
MELADO	2017-02-16	0,0
PANGUE	2017-02-16	8,0
PILMAIQUEN	2017-02-16	20,0
PULLINQUE	2017-02-16	14,0
RAPEL	2017-02-16	0,0
SAUZAL	2017-02-16	0,0
ACONCAGUA	2017-02-17	0,0
CHAPO	2017-02-17	55,0
COLBÚN	2017-02-17	0,0
INVERNADA	2017-02-17	0,0
LAJA	2017-02-17	3,9
LOS MOLLES	2017-02-17	0,0
MELADO	2017-02-17	0,0
PANGUE	2017-02-17	0,0
PILMAIQUEN	2017-02-17	6,0
PULLINQUE	2017-02-17	7,0
RAPEL	2017-02-17	0,0
SAUZAL	2017-02-17	0,0
ACONCAGUA	2017-02-18	0,0
CHAPO	2017-02-18	33,5
COLBÚN	2017-02-18	0,0
INVERNADA	2017-02-18	0,0
LAJA	2017-02-18	0,0
LOS MOLLES	2017-02-18	0,0
MELADO	2017-02-18	0,0
PANGUE	2017-02-18	0,0
PILMAIQUEN	2017-02-18	2,0
PULLINQUE	2017-02-18	28,0
