reservorio	fecha	agua_caida
ACONCAGUA	2021-01-01	0,0
CHAPO	2021-01-01	0,0
COLBÚN	2021-01-01	0,0
INVERNADA	2021-01-01	0,0
LAJA	2021-01-01	0,0
LOS MOLLES	2021-01-01	0,0
MELADO	2021-01-01	0,0
PANGUE	2021-01-01	0,0
PILMAIQUEN	2021-01-01	0,0
PULLINQUE	2021-01-01	0,0
RAPEL	2021-01-01	0,0
SAUZAL	2021-01-01	0,0
ACONCAGUA	2021-01-02	0,0
CHAPO	2021-01-02	0,0
COLBÚN	2021-01-02	0,0
INVERNADA	2021-01-02	3,0
LAJA	2021-01-02	0,0
LOS MOLLES	2021-01-02	0,0
MELADO	2021-01-02	3,75
PANGUE	2021-01-02	0,0
PILMAIQUEN	2021-01-02	0,0
PULLINQUE	2021-01-02	0,0
RAPEL	2021-01-02	0,0
SAUZAL	2021-01-02	0,0
ACONCAGUA	2021-01-03	0,0
CHAPO	2021-01-03	0,0
COLBÚN	2021-01-03	0,0
INVERNADA	2021-01-03	0,0
LAJA	2021-01-03	0,0
LOS MOLLES	2021-01-03	0,0
MELADO	2021-01-03	0,0
PANGUE	2021-01-03	0,0
PILMAIQUEN	2021-01-03	0,0
PULLINQUE	2021-01-03	0,0
RAPEL	2021-01-03	0,0
SAUZAL	2021-01-03	0,0
ACONCAGUA	2021-01-04	0,0
CHAPO	2021-01-04	0,0
COLBÚN	2021-01-04	0,0
INVERNADA	2021-01-04	0,0
LAJA	2021-01-04	0,0
LOS MOLLES	2021-01-04	0,0
MELADO	2021-01-04	0,0
PANGUE	2021-01-04	0,0
PILMAIQUEN	2021-01-04	0,0
PULLINQUE	2021-01-04	0,0
RAPEL	2021-01-04	0,0
SAUZAL	2021-01-04	0,0
ACONCAGUA	2021-01-05	0,0
CHAPO	2021-01-05	0,0
COLBÚN	2021-01-05	0,0
INVERNADA	2021-01-05	0,0
LAJA	2021-01-05	8,0
LOS MOLLES	2021-01-05	0,0
MELADO	2021-01-05	0,0
PANGUE	2021-01-05	1,4
PILMAIQUEN	2021-01-05	0,0
PULLINQUE	2021-01-05	0,0
RAPEL	2021-01-05	0,0
SAUZAL	2021-01-05	0,0
ACONCAGUA	2021-01-06	0,0
CHAPO	2021-01-06	3,0
COLBÚN	2021-01-06	0,0
INVERNADA	2021-01-06	0,0
LAJA	2021-01-06	0,0
LOS MOLLES	2021-01-06	0,0
MELADO	2021-01-06	0,0
PANGUE	2021-01-06	0,0
PILMAIQUEN	2021-01-06	2,1
PULLINQUE	2021-01-06	0,0
RAPEL	2021-01-06	0,0
SAUZAL	2021-01-06	0,0
ACONCAGUA	2021-01-07	0,0
CHAPO	2021-01-07	0,0
COLBÚN	2021-01-07	0,0
INVERNADA	2021-01-07	0,0
LAJA	2021-01-07	0,0
LOS MOLLES	2021-01-07	0,0
MELADO	2021-01-07	0,0
PANGUE	2021-01-07	0,0
PILMAIQUEN	2021-01-07	0,0
PULLINQUE	2021-01-07	0,0
RAPEL	2021-01-07	0,0
SAUZAL	2021-01-07	0,0
ACONCAGUA	2021-01-08	0,0
CHAPO	2021-01-08	0,0
COLBÚN	2021-01-08	0,0
INVERNADA	2021-01-08	0,0
LAJA	2021-01-08	0,0
LOS MOLLES	2021-01-08	0,0
MELADO	2021-01-08	0,0
PANGUE	2021-01-08	0,0
PILMAIQUEN	2021-01-08	0,0
PULLINQUE	2021-01-08	0,0
RAPEL	2021-01-08	0,0
SAUZAL	2021-01-08	0,0
ACONCAGUA	2021-01-09	0,0
CHAPO	2021-01-09	30,5
COLBÚN	2021-01-09	0,0
INVERNADA	2021-01-09	0,0
LAJA	2021-01-09	0,0
LOS MOLLES	2021-01-09	0,0
MELADO	2021-01-09	0,0
PANGUE	2021-01-09	0,0
PILMAIQUEN	2021-01-09	0,0
PULLINQUE	2021-01-09	0,0
RAPEL	2021-01-09	0,0
SAUZAL	2021-01-09	0,0
ACONCAGUA	2021-01-10	0,0
CHAPO	2021-01-10	17,5
COLBÚN	2021-01-10	0,0
INVERNADA	2021-01-10	0,0
LAJA	2021-01-10	11,0
LOS MOLLES	2021-01-10	0,0
MELADO	2021-01-10	0,0
PANGUE	2021-01-10	7,6
PILMAIQUEN	2021-01-10	5,8
PULLINQUE	2021-01-10	22,5
RAPEL	2021-01-10	0,0
SAUZAL	2021-01-10	0,0
ACONCAGUA	2021-01-11	0,0
CHAPO	2021-01-11	1,0
COLBÚN	2021-01-11	0,0
INVERNADA	2021-01-11	0,0
LAJA	2021-01-11	0,0
LOS MOLLES	2021-01-11	0,0
MELADO	2021-01-11	0,0
PANGUE	2021-01-11	0,8
PILMAIQUEN	2021-01-11	0,0
PULLINQUE	2021-01-11	0,0
RAPEL	2021-01-11	0,0
SAUZAL	2021-01-11	0,0
ACONCAGUA	2021-01-12	0,0
CHAPO	2021-01-12	0,0
COLBÚN	2021-01-12	0,0
INVERNADA	2021-01-12	0,0
LAJA	2021-01-12	0,0
LOS MOLLES	2021-01-12	0,0
MELADO	2021-01-12	0,0
PANGUE	2021-01-12	0,0
PILMAIQUEN	2021-01-12	0,0
PULLINQUE	2021-01-12	0,0
RAPEL	2021-01-12	0,0
SAUZAL	2021-01-12	0,0
ACONCAGUA	2021-01-13	0,0
CHAPO	2021-01-13	0,0
COLBÚN	2021-01-13	0,0
INVERNADA	2021-01-13	0,0
LAJA	2021-01-13	0,0
LOS MOLLES	2021-01-13	0,0
MELADO	2021-01-13	0,0
PANGUE	2021-01-13	0,0
PILMAIQUEN	2021-01-13	0,0
PULLINQUE	2021-01-13	0,0
RAPEL	2021-01-13	0,0
SAUZAL	2021-01-13	0,0
ACONCAGUA	2021-01-14	0,0
CHAPO	2021-01-14	11,0
COLBÚN	2021-01-14	0,0
INVERNADA	2021-01-14	0,0
LAJA	2021-01-14	0,0
LOS MOLLES	2021-01-14	0,0
MELADO	2021-01-14	0,0
PANGUE	2021-01-14	0,0
PILMAIQUEN	2021-01-14	0,0
PULLINQUE	2021-01-14	0,0
RAPEL	2021-01-14	0,0
SAUZAL	2021-01-14	0,0
ACONCAGUA	2021-01-15	0,0
CHAPO	2021-01-15	8,0
COLBÚN	2021-01-15	0,0
INVERNADA	2021-01-15	0,0
LAJA	2021-01-15	0,0
LOS MOLLES	2021-01-15	0,0
MELADO	2021-01-15	0,0
PANGUE	2021-01-15	0,0
PILMAIQUEN	2021-01-15	12,7
PULLINQUE	2021-01-15	4,6
RAPEL	2021-01-15	0,0
SAUZAL	2021-01-15	0,0
ACONCAGUA	2021-01-16	0,0
CHAPO	2021-01-16	0,0
COLBÚN	2021-01-16	0,0
INVERNADA	2021-01-16	0,0
LAJA	2021-01-16	0,0
LOS MOLLES	2021-01-16	0,0
MELADO	2021-01-16	0,0
PANGUE	2021-01-16	0,0
PILMAIQUEN	2021-01-16	0,0
PULLINQUE	2021-01-16	0,0
RAPEL	2021-01-16	0,0
SAUZAL	2021-01-16	0,0
ACONCAGUA	2021-01-17	0,0
CHAPO	2021-01-17	0,0
COLBÚN	2021-01-17	0,0
INVERNADA	2021-01-17	0,0
LAJA	2021-01-17	0,0
LOS MOLLES	2021-01-17	0,0
MELADO	2021-01-17	0,0
PANGUE	2021-01-17	0,0
PILMAIQUEN	2021-01-17	0,0
PULLINQUE	2021-01-17	0,0
RAPEL	2021-01-17	0,0
SAUZAL	2021-01-17	0,0
ACONCAGUA	2021-01-18	0,0
CHAPO	2021-01-18	0,0
COLBÚN	2021-01-18	0,0
INVERNADA	2021-01-18	0,0
LAJA	2021-01-18	0,0
LOS MOLLES	2021-01-18	0,0
MELADO	2021-01-18	0,0
PANGUE	2021-01-18	0,0
PILMAIQUEN	2021-01-18	0,0
PULLINQUE	2021-01-18	0,0
RAPEL	2021-01-18	0,0
SAUZAL	2021-01-18	0,0
ACONCAGUA	2021-01-19	0,0
CHAPO	2021-01-19	0,0
COLBÚN	2021-01-19	0,0
INVERNADA	2021-01-19	0,0
LAJA	2021-01-19	0,0
LOS MOLLES	2021-01-19	0,0
MELADO	2021-01-19	0,0
PANGUE	2021-01-19	0,0
PILMAIQUEN	2021-01-19	0,0
PULLINQUE	2021-01-19	0,0
RAPEL	2021-01-19	0,0
SAUZAL	2021-01-19	0,0
ACONCAGUA	2021-01-20	0,0
CHAPO	2021-01-20	0,0
INVERNADA	2021-01-20	0,0
LAJA	2021-01-20	0,0
LOS MOLLES	2021-01-20	0,0
MELADO	2021-01-20	0,0
PANGUE	2021-01-20	0,0
PILMAIQUEN	2021-01-20	0,0
PULLINQUE	2021-01-20	0,0
RAPEL	2021-01-20	0,0
SAUZAL	2021-01-20	0,0
ACONCAGUA	2021-01-21	0,0
CHAPO	2021-01-21	0,0
COLBÚN	2021-01-21	0,0
INVERNADA	2021-01-21	0,0
LAJA	2021-01-21	0,0
LOS MOLLES	2021-01-21	0,0
MELADO	2021-01-21	0,0
PANGUE	2021-01-21	0,0
PILMAIQUEN	2021-01-21	0,0
PULLINQUE	2021-01-21	0,0
RAPEL	2021-01-21	0,0
SAUZAL	2021-01-21	0,0
ACONCAGUA	2021-01-22	0,0
CHAPO	2021-01-22	0,0
COLBÚN	2021-01-22	0,0
INVERNADA	2021-01-22	0,0
LAJA	2021-01-22	0,0
LOS MOLLES	2021-01-22	0,0
MELADO	2021-01-22	0,0
PANGUE	2021-01-22	0,0
PILMAIQUEN	2021-01-22	0,0
PULLINQUE	2021-01-22	0,0
RAPEL	2021-01-22	0,0
SAUZAL	2021-01-22	0,0
ACONCAGUA	2021-01-23	0,0
CHAPO	2021-01-23	0,0
COLBÚN	2021-01-23	0,0
INVERNADA	2021-01-23	0,0
LAJA	2021-01-23	0,0
LOS MOLLES	2021-01-23	0,0
MELADO	2021-01-23	0,0
PANGUE	2021-01-23	0,0
PILMAIQUEN	2021-01-23	0,0
PULLINQUE	2021-01-23	0,0
RAPEL	2021-01-23	0,0
SAUZAL	2021-01-23	0,0
ACONCAGUA	2021-01-24	0,0
CHAPO	2021-01-24	0,0
COLBÚN	2021-01-24	0,0
INVERNADA	2021-01-24	0,0
LAJA	2021-01-24	0,0
LOS MOLLES	2021-01-24	0,0
MELADO	2021-01-24	0,0
PANGUE	2021-01-24	0,0
PILMAIQUEN	2021-01-24	0,0
PULLINQUE	2021-01-24	0,0
RAPEL	2021-01-24	0,0
SAUZAL	2021-01-24	0,0
ACONCAGUA	2021-01-25	0,0
CHAPO	2021-01-25	0,0
COLBÚN	2021-01-25	0,0
INVERNADA	2021-01-25	0,0
LAJA	2021-01-25	0,0
LOS MOLLES	2021-01-25	0,0
MELADO	2021-01-25	0,0
PANGUE	2021-01-25	0,0
PILMAIQUEN	2021-01-25	0,0
PULLINQUE	2021-01-25	0,0
RAPEL	2021-01-25	0,0
SAUZAL	2021-01-25	0,0
ACONCAGUA	2021-01-26	0,0
CHAPO	2021-01-26	0,0
COLBÚN	2021-01-26	0,0
INVERNADA	2021-01-26	0,0
LAJA	2021-01-26	0,0
LOS MOLLES	2021-01-26	0,0
MELADO	2021-01-26	0,0
PANGUE	2021-01-26	0,0
PILMAIQUEN	2021-01-26	0,0
PULLINQUE	2021-01-26	0,0
RAPEL	2021-01-26	0,0
SAUZAL	2021-01-26	0,0
ACONCAGUA	2021-01-27	0,0
CHAPO	2021-01-27	19,0
COLBÚN	2021-01-27	0,0
INVERNADA	2021-01-27	0,0
LAJA	2021-01-27	0,0
LOS MOLLES	2021-01-27	0,0
MELADO	2021-01-27	0,0
PANGUE	2021-01-27	0,0
PILMAIQUEN	2021-01-27	3,2
PULLINQUE	2021-01-27	0,3
RAPEL	2021-01-27	0,0
SAUZAL	2021-01-27	0,0
ACONCAGUA	2021-01-28	0,0
CHAPO	2021-01-28	1,0
COLBÚN	2021-01-28	5,5
INVERNADA	2021-01-28	0,0
LAJA	2021-01-28	69,0
LOS MOLLES	2021-01-28	0,0
MELADO	2021-01-28	0,0
PANGUE	2021-01-28	71,4
PILMAIQUEN	2021-01-28	1,0
PULLINQUE	2021-01-28	16,8
RAPEL	2021-01-28	0,0
SAUZAL	2021-01-28	0,0
ACONCAGUA	2021-01-29	0,0
CHAPO	2021-01-29	0,0
COLBÚN	2021-01-29	28,75
INVERNADA	2021-01-29	25,5
LAJA	2021-01-29	83,4
LOS MOLLES	2021-01-29	0,0
MELADO	2021-01-29	59,2
PANGUE	2021-01-29	44,2
PILMAIQUEN	2021-01-29	0,0
PULLINQUE	2021-01-29	0,0
RAPEL	2021-01-29	27,2
SAUZAL	2021-01-29	39,0
ACONCAGUA	2021-01-30	39,4
CHAPO	2021-01-30	0,0
COLBÚN	2021-01-30	25,0
INVERNADA	2021-01-30	19,5
LAJA	2021-01-30	35,0
LOS MOLLES	2021-01-30	0,0
MELADO	2021-01-30	10,5
PANGUE	2021-01-30	2,6
PILMAIQUEN	2021-01-30	0,0
PULLINQUE	2021-01-30	1,0
RAPEL	2021-01-30	82,7
SAUZAL	2021-01-30	3,0
ACONCAGUA	2021-01-31	21,6
CHAPO	2021-01-31	0,0
COLBÚN	2021-01-31	1,5
INVERNADA	2021-01-31	6,5
LAJA	2021-01-31	46,0
LOS MOLLES	2021-01-31	0,0
MELADO	2021-01-31	10,5
PANGUE	2021-01-31	4,2
PILMAIQUEN	2021-01-31	0,0
PULLINQUE	2021-01-31	0,0
RAPEL	2021-01-31	0,0
SAUZAL	2021-01-31	9,5
ACONCAGUA	2021-02-01	0,0
CHAPO	2021-02-01	0,0
COLBÚN	2021-02-01	0,0
INVERNADA	2021-02-01	1,5
LAJA	2021-02-01	0,0
LOS MOLLES	2021-02-01	0,0
MELADO	2021-02-01	0,0
PANGUE	2021-02-01	0,0
PILMAIQUEN	2021-02-01	0,0
PULLINQUE	2021-02-01	0,0
RAPEL	2021-02-01	0,0
SAUZAL	2021-02-01	0,0
ACONCAGUA	2021-02-02	0,0
CHAPO	2021-02-02	0,0
COLBÚN	2021-02-02	0,0
INVERNADA	2021-02-02	0,0
LAJA	2021-02-02	0,0
LOS MOLLES	2021-02-02	0,0
MELADO	2021-02-02	0,0
PANGUE	2021-02-02	0,0
PILMAIQUEN	2021-02-02	0,0
PULLINQUE	2021-02-02	0,0
