reservorio	fecha	agua_caida
ACONCAGUA	2016-01-01	0,0
CHAPO	2016-01-01	0,0
COLBÚN	2016-01-01	0,0
INVERNADA	2016-01-01	0,0
LAJA	2016-01-01	0,0
LOS MOLLES	2016-01-01	0,0
MELADO	2016-01-01	0,0
PANGUE	2016-01-01	0,0
PILMAIQUEN	2016-01-01	0,0
PULLINQUE	2016-01-01	0,0
RAPEL	2016-01-01	0,0
SAUZAL	2016-01-01	0,0
ACONCAGUA	2016-01-02	0,0
CHAPO	2016-01-02	0,0
COLBÚN	2016-01-02	0,0
INVERNADA	2016-01-02	0,0
LAJA	2016-01-02	0,0
LOS MOLLES	2016-01-02	0,0
MELADO	2016-01-02	0,0
PANGUE	2016-01-02	0,0
RAPEL	2016-01-02	0,0
SAUZAL	2016-01-02	0,0
ACONCAGUA	2016-01-03	0,0
CHAPO	2016-01-03	0,0
COLBÚN	2016-01-03	0,0
INVERNADA	2016-01-03	0,0
LAJA	2016-01-03	0,0
LOS MOLLES	2016-01-03	0,0
MELADO	2016-01-03	0,0
PANGUE	2016-01-03	0,0
PILMAIQUEN	2016-01-03	0,0
PULLINQUE	2016-01-03	0,0
RAPEL	2016-01-03	0,0
SAUZAL	2016-01-03	0,0
ACONCAGUA	2016-01-04	0,0
CHAPO	2016-01-04	0,0
COLBÚN	2016-01-04	0,0
INVERNADA	2016-01-04	0,0
LAJA	2016-01-04	0,0
LOS MOLLES	2016-01-04	0,0
MELADO	2016-01-04	0,0
PANGUE	2016-01-04	0,0
RAPEL	2016-01-04	0,0
SAUZAL	2016-01-04	0,0
ACONCAGUA	2016-01-05	0,0
CHAPO	2016-01-05	0,0
COLBÚN	2016-01-05	0,0
INVERNADA	2016-01-05	0,0
LAJA	2016-01-05	0,0
LOS MOLLES	2016-01-05	0,0
MELADO	2016-01-05	0,0
PANGUE	2016-01-05	0,0
RAPEL	2016-01-05	0,0
SAUZAL	2016-01-05	0,0
ACONCAGUA	2016-01-06	0,0
CHAPO	2016-01-06	0,0
COLBÚN	2016-01-06	0,0
INVERNADA	2016-01-06	0,0
LAJA	2016-01-06	0,0
