reservorio	fecha	agua_caida
ACONCAGUA	2022-01-01	0,0
CHAPO	2022-01-01	115,0
COLBÚN	2022-01-01	0,0
INVERNADA	2022-01-01	0,0
LAJA	2022-01-01	6,0
LOS MOLLES	2022-01-01	0,0
MELADO	2022-01-01	0,0
PANGUE	2022-01-01	14,0
PILMAIQUEN	2022-01-01	46,1
PULLINQUE	2022-01-01	40,2
RAPEL	2022-01-01	0,0
SAUZAL	2022-01-01	0,0
ACONCAGUA	2022-01-02	0,0
CHAPO	2022-01-02	4,5
COLBÚN	2022-01-02	0,0
INVERNADA	2022-01-02	0,0
LAJA	2022-01-02	42,0
LOS MOLLES	2022-01-02	0,0
MELADO	2022-01-02	0,0
PANGUE	2022-01-02	71,4
PILMAIQUEN	2022-01-02	0,7
PULLINQUE	2022-01-02	9,8
RAPEL	2022-01-02	0,0
SAUZAL	2022-01-02	0,0
ACONCAGUA	2022-01-03	0,0
CHAPO	2022-01-03	27,0
COLBÚN	2022-01-03	0,0
INVERNADA	2022-01-03	0,0
LAJA	2022-01-03	2,5
LOS MOLLES	2022-01-03	0,0
MELADO	2022-01-03	0,0
PANGUE	2022-01-03	7,8
PILMAIQUEN	2022-01-03	4,8
PULLINQUE	2022-01-03	8,1
RAPEL	2022-01-03	0,0
SAUZAL	2022-01-03	0,0
ACONCAGUA	2022-01-04	0,0
CHAPO	2022-01-04	0,0
COLBÚN	2022-01-04	0,0
INVERNADA	2022-01-04	0,0
LAJA	2022-01-04	0,0
LOS MOLLES	2022-01-04	0,0
MELADO	2022-01-04	0,0
PANGUE	2022-01-04	0,8
PILMAIQUEN	2022-01-04	0,0
PULLINQUE	2022-01-04	0,0
RAPEL	2022-01-04	0,0
SAUZAL	2022-01-04	0,0
ACONCAGUA	2022-01-05	0,0
CHAPO	2022-01-05	0,0
COLBÚN	2022-01-05	0,0
INVERNADA	2022-01-05	0,0
LAJA	2022-01-05	0,0
LOS MOLLES	2022-01-05	0,0
MELADO	2022-01-05	0,0
PANGUE	2022-01-05	0,0
PILMAIQUEN	2022-01-05	0,0
PULLINQUE	2022-01-05	0,0
RAPEL	2022-01-05	0,0
SAUZAL	2022-01-05	0,0
ACONCAGUA	2022-01-06	0,0
CHAPO	2022-01-06	0,0
COLBÚN	2022-01-06	0,0
INVERNADA	2022-01-06	0,0
LAJA	2022-01-06	0,0
